variant,treatment,reference,n_pairs,mean_difference,ci95_low,ci95_high,sign_p,holm_p
double_centered_full_action_dqn,300,600,20,1.5348924266025428,1.1461504733892633,1.9382667699384957,1.9073486328125e-06,2.288818359375e-05
double_centered_full_action_dqn,900,600,20,0.05979086244106213,-0.2334217834825663,0.343823856165165,0.5034446716308594,1.0
double_dqn,300,600,20,3.0978661916423613,2.143087604986599,4.235849083297098,1.9073486328125e-06,2.288818359375e-05
double_dqn,900,600,20,-0.09495731915906092,-0.6366329141193076,0.38726791178072045,0.5034446716308594,1.0
centered_full_action_dqn,300,600,20,1.6707088914401829,1.3169903381680141,2.0613106389294855,1.9073486328125e-06,2.288818359375e-05
centered_full_action_dqn,900,600,20,-0.10701248033903496,-0.3359670165484275,0.10314031883147627,0.5034446716308594,1.0
full_action_q_dqn,300,600,20,2.547192067980766,1.8595994849928659,3.323640110281577,1.9073486328125e-06,2.288818359375e-05
full_action_q_dqn,900,600,20,-0.28552046511322404,-0.7395799375690537,0.1024727541011735,0.8238029479980469,1.0
immediate_advantage_dqn,300,600,20,1.7743177649136619,1.1501237717493424,2.478571444132688,4.00543212890625e-05,0.0002803802490234375
immediate_advantage_dqn,900,600,20,-0.3814410780537877,-0.7854258120966605,-0.0027937396834131737,0.5034446716308594,1.0
standard_dqn,300,600,20,3.3726168319638803,2.3537286073462083,4.469784926215371,1.9073486328125e-06,2.288818359375e-05
standard_dqn,900,600,20,-0.37349944756179954,-0.7166288031193907,-0.03337048957129176,0.11531829833984375,0.6919097900390625
