variant,gamma,model_seed,episodes,training_steps,curve_file,final_cost,final_rolling_cost
standard_dqn,0.9,800,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_800__curve.csv,66.89958789348603,81.22378023251892
standard_dqn,0.9,801,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_801__curve.csv,69.40103313326836,80.95072380207479
standard_dqn,0.9,802,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_802__curve.csv,90.25943058133126,83.86126797370613
standard_dqn,0.9,803,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_803__curve.csv,82.47195905447006,83.38397266738119
standard_dqn,0.9,804,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_804__curve.csv,70.6546280682087,84.85977962322534
standard_dqn,0.9,805,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_805__curve.csv,72.41259493231773,85.11183182939888
standard_dqn,0.9,806,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_806__curve.csv,77.56772541403771,82.51655977897346
standard_dqn,0.9,807,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_807__curve.csv,98.66720129847526,85.14532645650209
standard_dqn,0.9,808,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_808__curve.csv,75.55177784264087,79.85130210988224
standard_dqn,0.9,809,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_809__curve.csv,82.65634886920452,81.10699468217791
standard_dqn,0.9,810,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_810__curve.csv,77.94623879492283,87.81130763061347
standard_dqn,0.9,811,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_811__curve.csv,80.13003419488669,81.26373276874423
standard_dqn,0.9,812,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_812__curve.csv,96.60732635855676,86.0737483943999
standard_dqn,0.9,813,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_813__curve.csv,68.06714656203985,81.0798986852169
standard_dqn,0.9,814,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_814__curve.csv,64.20713884532452,88.38598470747472
standard_dqn,0.9,815,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_815__curve.csv,77.03215977698565,81.6808194111288
standard_dqn,0.9,816,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p9__seed_816__curve.csv,90.98392997831108,80.37300868615509
