variant,gamma,model_seed,episodes,training_steps,curve_file,final_cost,final_rolling_cost
standard_dqn,0.97,800,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_800__curve.csv,68.29475865662098,78.5884621537477
standard_dqn,0.97,801,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_801__curve.csv,65.14750339090824,77.98918650172651
standard_dqn,0.97,802,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_802__curve.csv,80.06353701800109,80.43354588270188
standard_dqn,0.97,803,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_803__curve.csv,82.86529132723808,81.18779203899206
standard_dqn,0.97,804,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_804__curve.csv,71.06374568492174,82.43876995675267
standard_dqn,0.97,805,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_805__curve.csv,73.37561386227608,81.42374000914396
standard_dqn,0.97,806,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_806__curve.csv,76.22218427211047,80.32487625651063
standard_dqn,0.97,807,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_807__curve.csv,97.67392414212227,83.20866109959782
standard_dqn,0.97,808,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_808__curve.csv,74.4645562261343,78.66963493682445
standard_dqn,0.97,809,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_809__curve.csv,81.13652067631483,79.78990280985832
standard_dqn,0.97,810,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_810__curve.csv,79.49740445762873,83.11916904449464
standard_dqn,0.97,811,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_811__curve.csv,71.15378347188235,77.30081470847131
standard_dqn,0.97,812,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_812__curve.csv,94.4558471739292,82.26934758685529
standard_dqn,0.97,813,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_813__curve.csv,67.68896938115358,79.46494438327849
standard_dqn,0.97,814,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_814__curve.csv,64.51422406882048,85.2933022323996
standard_dqn,0.97,815,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_815__curve.csv,80.7737260401249,79.51271739691498
standard_dqn,0.97,816,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_816__curve.csv,91.14354702830316,79.46034366287292
standard_dqn,0.97,817,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_817__curve.csv,66.78269471973181,80.40890570923686
standard_dqn,0.97,818,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_818__curve.csv,85.32447165250778,78.25988930605351
standard_dqn,0.97,819,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p97__seed_819__curve.csv,80.49689854085446,81.50826557777823
