variant,model_seed,checkpoint_episode,total_cost,trace_seed
standard_dqn,802,300,77.14562740325928,3302000
standard_dqn,802,300,92.10638705641031,3302001
standard_dqn,802,300,88.15523624718189,3302002
standard_dqn,802,300,84.0189772695303,3302003
standard_dqn,802,300,88.00333611965179,3302004
standard_dqn,802,300,71.63336532562971,3302005
standard_dqn,802,300,95.48762404322625,3302006
standard_dqn,802,300,88.40214639157057,3302007
standard_dqn,802,300,89.74831778556108,3302008
standard_dqn,802,300,68.93335273265839,3302009
standard_dqn,802,300,76.95361952632666,3302010
standard_dqn,802,300,69.9901382341981,3302011
standard_dqn,802,300,76.68310085833073,3302012
standard_dqn,802,300,79.36238344162703,3302013
standard_dqn,802,300,79.51885348856449,3302014
standard_dqn,802,300,76.24907840043306,3302015
standard_dqn,802,300,82.33244632929564,3302016
standard_dqn,802,300,80.28097003549337,3302017
standard_dqn,802,300,79.79412741959095,3302018
standard_dqn,802,300,77.57059190571309,3302019
standard_dqn,802,600,73.75266390442849,3302000
standard_dqn,802,600,88.92336320132017,3302001
standard_dqn,802,600,86.04759373664857,3302002
standard_dqn,802,600,81.37491414099932,3302003
standard_dqn,802,600,83.32817049622535,3302004
standard_dqn,802,600,66.12729340791702,3302005
standard_dqn,802,600,90.33137552589179,3302006
standard_dqn,802,600,86.29345814138651,3302007
standard_dqn,802,600,87.44073437154293,3302008
standard_dqn,802,600,64.26573940515519,3302009
standard_dqn,802,600,72.97837283611298,3302010
standard_dqn,802,600,69.30807644277812,3302011
standard_dqn,802,600,74.65273425877095,3302012
standard_dqn,802,600,77.05781828761101,3302013
standard_dqn,802,600,78.7519510269165,3302014
standard_dqn,802,600,72.14356238394976,3302015
standard_dqn,802,600,80.26872300356627,3302016
standard_dqn,802,600,77.45218396782874,3302017
standard_dqn,802,600,78.33091171085835,3302018
standard_dqn,802,600,77.16781581342221,3302019
standard_dqn,802,900,73.43724816441537,3302000
standard_dqn,802,900,89.77912449091673,3302001
standard_dqn,802,900,85.5891454398632,3302002
standard_dqn,802,900,80.28946164399386,3302003
standard_dqn,802,900,85.17455183267593,3302004
standard_dqn,802,900,65.62899782508612,3302005
standard_dqn,802,900,90.22453849166632,3302006
standard_dqn,802,900,86.28450291603804,3302007
standard_dqn,802,900,87.51016166210175,3302008
standard_dqn,802,900,63.95152992904186,3302009
standard_dqn,802,900,73.43164886683226,3302010
standard_dqn,802,900,69.46715848296881,3302011
standard_dqn,802,900,74.72976746559144,3302012
standard_dqn,802,900,76.35414040982724,3302013
standard_dqn,802,900,78.07224623262883,3302014
standard_dqn,802,900,72.0756218507886,3302015
standard_dqn,802,900,80.87975858896971,3302016
standard_dqn,802,900,76.82004689276218,3302017
standard_dqn,802,900,78.83201445639133,3302018
standard_dqn,802,900,78.80773616731167,3302019
standard_dqn,803,300,73.81921842694283,3303000
standard_dqn,803,300,68.21899209916592,3303001
standard_dqn,803,300,78.4161971449852,3303002
standard_dqn,803,300,76.36147183328868,3303003
standard_dqn,803,300,68.8724292293191,3303004
standard_dqn,803,300,87.64958328008652,3303005
standard_dqn,803,300,75.03679107129574,3303006
standard_dqn,803,300,87.4720197468996,3303007
standard_dqn,803,300,83.78041765987874,3303008
standard_dqn,803,300,85.15848256051541,3303009
standard_dqn,803,300,78.95053043961525,3303010
standard_dqn,803,300,74.0179813504219,3303011
standard_dqn,803,300,71.56333987414837,3303012
standard_dqn,803,300,80.14824416488409,3303013
standard_dqn,803,300,64.11087224781514,3303014
standard_dqn,803,300,80.429109595716,3303015
standard_dqn,803,300,58.06198677420616,3303016
standard_dqn,803,300,85.90438032895327,3303017
standard_dqn,803,300,70.59735026583076,3303018
standard_dqn,803,300,98.5595173239708,3303019
standard_dqn,803,600,72.94143913686275,3303000
standard_dqn,803,600,67.46005316823721,3303001
standard_dqn,803,600,78.20595258623362,3303002
standard_dqn,803,600,72.11440473198891,3303003
standard_dqn,803,600,67.91115282475948,3303004
standard_dqn,803,600,87.59233403205872,3303005
standard_dqn,803,600,72.7994837462902,3303006
standard_dqn,803,600,85.71453835070133,3303007
standard_dqn,803,600,81.79668268114328,3303008
standard_dqn,803,600,81.9085749924183,3303009
standard_dqn,803,600,78.17694401741028,3303010
standard_dqn,803,600,74.00887063145638,3303011
standard_dqn,803,600,69.37668436765671,3303012
standard_dqn,803,600,76.82534185796976,3303013
standard_dqn,803,600,61.99339519590139,3303014
standard_dqn,803,600,78.27984853088856,3303015
standard_dqn,803,600,56.22296126186848,3303016
standard_dqn,803,600,84.70381367951632,3303017
standard_dqn,803,600,68.82252426445484,3303018
standard_dqn,803,600,97.72299002110958,3303019
standard_dqn,803,900,72.81624960154295,3303000
standard_dqn,803,900,67.73063725978136,3303001
standard_dqn,803,900,78.0768890157342,3303002
standard_dqn,803,900,72.01331664770842,3303003
standard_dqn,803,900,67.3189847022295,3303004
standard_dqn,803,900,87.18544030189514,3303005
standard_dqn,803,900,73.17364490032196,3303006
standard_dqn,803,900,85.80552054941654,3303007
standard_dqn,803,900,81.84885213822126,3303008
standard_dqn,803,900,80.75980920493603,3303009
standard_dqn,803,900,77.57796294987202,3303010
standard_dqn,803,900,74.00887063145638,3303011
standard_dqn,803,900,67.89799770712852,3303012
standard_dqn,803,900,77.34141833335161,3303013
standard_dqn,803,900,61.80697692334652,3303014
standard_dqn,803,900,78.27990933507681,3303015
standard_dqn,803,900,54.969931319355965,3303016
standard_dqn,803,900,83.3448201790452,3303017
standard_dqn,803,900,69.3321114629507,3303018
standard_dqn,803,900,97.67970283329487,3303019
standard_dqn,804,300,76.81787803769112,3304000
standard_dqn,804,300,85.96630013883114,3304001
standard_dqn,804,300,86.45427309125662,3304002
standard_dqn,804,300,74.07874912321567,3304003
standard_dqn,804,300,62.05057805776596,3304004
standard_dqn,804,300,85.03800840079785,3304005
standard_dqn,804,300,86.95063802003861,3304006
standard_dqn,804,300,103.13704334199429,3304007
standard_dqn,804,300,65.87032901495695,3304008
standard_dqn,804,300,88.92042925357819,3304009
standard_dqn,804,300,83.0667819172144,3304010
standard_dqn,804,300,85.80803473293781,3304011
standard_dqn,804,300,77.13568650335074,3304012
standard_dqn,804,300,80.09005256295204,3304013
standard_dqn,804,300,70.46437170803546,3304014
standard_dqn,804,300,81.8674010515213,3304015
standard_dqn,804,300,76.16671492159367,3304016
standard_dqn,804,300,66.13615653663874,3304017
standard_dqn,804,300,91.63038806021214,3304018
standard_dqn,804,300,85.62875650078058,3304019
standard_dqn,804,600,74.26000642925501,3304000
standard_dqn,804,600,80.74916323423386,3304001
standard_dqn,804,600,81.04350897818804,3304002
standard_dqn,804,600,72.46504535079002,3304003
standard_dqn,804,600,59.0035223826766,3304004
standard_dqn,804,600,82.8256958886981,3304005
standard_dqn,804,600,85.49206174314023,3304006
standard_dqn,804,600,97.92983087897301,3304007
standard_dqn,804,600,64.36256075650454,3304008
standard_dqn,804,600,83.83236686885357,3304009
standard_dqn,804,600,81.0881726756692,3304010
standard_dqn,804,600,81.12068974971771,3304011
standard_dqn,804,600,75.4867572426796,3304012
standard_dqn,804,600,77.29753694087267,3304013
standard_dqn,804,600,66.90419175177813,3304014
standard_dqn,804,600,79.87896656543016,3304015
standard_dqn,804,600,71.5029085278511,3304016
standard_dqn,804,600,64.88389455527067,3304017
standard_dqn,804,600,90.85780095458031,3304018
standard_dqn,804,600,81.41006837785244,3304019
