policy,gamma,mean,std,count
greedy8,0.97,88.78599397522767,2.1923525486293953,20
mpc4,0.9,91.20599075014152,1.6749780777828476,20
mpc4,0.95,90.95704807490634,1.6782590953749021,20
mpc4,0.97,90.82778442196862,1.707040510645147,20
mpc4,0.99,90.71452617149029,1.7693725899904267,20
