variant,gamma,model_seed,episodes,training_steps,curve_file,final_cost,final_rolling_cost
standard_dqn,0.95,800,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_800__curve.csv,67.47098366320134,79.05255662925542
standard_dqn,0.95,801,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_801__curve.csv,66.21375650167465,78.33256839238108
standard_dqn,0.95,802,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_802__curve.csv,81.90912485271693,81.0352132190764
standard_dqn,0.95,803,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_803__curve.csv,81.56791126728058,81.33254877865315
standard_dqn,0.95,804,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_804__curve.csv,68.71061807125807,81.63592214472592
standard_dqn,0.95,805,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_805__curve.csv,71.21076227873564,81.26864097833635
standard_dqn,0.95,806,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_806__curve.csv,75.69931002110243,80.46645909294486
standard_dqn,0.95,807,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_807__curve.csv,96.95441664904357,82.85020079955459
standard_dqn,0.95,808,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_808__curve.csv,73.29646267294883,77.77456761695444
standard_dqn,0.95,809,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_809__curve.csv,82.23640991002321,79.45408282876016
standard_dqn,0.95,810,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_810__curve.csv,80.55892781466245,83.63362407140434
standard_dqn,0.95,811,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_811__curve.csv,74.99098697453738,78.00698621973397
standard_dqn,0.95,812,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_812__curve.csv,94.36308619379996,82.57333373621107
standard_dqn,0.95,813,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_813__curve.csv,67.4666787609458,79.71650861196221
standard_dqn,0.95,814,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_814__curve.csv,63.392820896208285,85.1720753066987
standard_dqn,0.95,815,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_815__curve.csv,78.45615962296725,79.01091976404192
standard_dqn,0.95,816,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p95__seed_816__curve.csv,91.17139887809752,78.87490429513156
