variant,treatment,reference,n_pairs,mean_difference,ci95_low,ci95_high,sign_p,holm_p
double_centered_full_action_dqn,0.9,0.97,20,2.6975606485252768,2.096250373147242,3.282539685672151,0.0004024505615234375,0.005634307861328125
double_centered_full_action_dqn,0.95,0.97,20,0.3113102837167688,-0.08853504181317924,0.7008189860765849,0.5034446716308594,1.0
double_centered_full_action_dqn,0.99,0.97,20,0.4352962719760825,0.0820883666849683,0.8395590681954304,0.26317596435546875,1.0
double_dqn,0.9,0.97,20,2.678490602679551,1.8636483732250522,3.5242900369866743,0.0004024505615234375,0.005634307861328125
double_dqn,0.95,0.97,20,0.03510031973943271,-0.25392913094497827,0.34495529160015304,0.5034446716308594,1.0
double_dqn,0.99,0.97,20,4.6439424266467695,1.8429960024334524,8.28085716160753,0.01181793212890625,0.1181793212890625
centered_full_action_dqn,0.9,0.97,20,2.8663324801008114,2.244316981735713,3.4814774407875535,4.00543212890625e-05,0.000720977783203125
centered_full_action_dqn,0.95,0.97,20,0.19020266204327144,-0.09062214197223252,0.45335841564191176,0.11531829833984375,0.8072280883789062
centered_full_action_dqn,0.99,0.97,20,0.821727341307325,0.4163458059109724,1.2844988467879106,0.0004024505615234375,0.005634307861328125
full_action_q_dqn,0.9,0.97,20,2.744548437241466,2.010735388023594,3.407316071687644,4.00543212890625e-05,0.000720977783203125
full_action_q_dqn,0.95,0.97,20,-0.03484593117795853,-0.4708212764820064,0.3611228136026765,0.8238029479980469,1.0
full_action_q_dqn,0.99,0.97,20,1.514585705507546,0.654401937694197,2.43996485240487,0.04138946533203125,0.33111572265625
immediate_advantage_dqn,0.9,0.97,20,4.567689425145005,3.6618034667849546,5.407479081928127,4.00543212890625e-05,0.000720977783203125
immediate_advantage_dqn,0.95,0.97,20,0.17555152549408462,-0.23306254678898605,0.5401647950477437,0.11531829833984375,0.8072280883789062
immediate_advantage_dqn,0.99,0.97,20,1.3916453058123601,0.8113509640015678,2.05944686698327,0.0025768280029296875,0.028345108032226562
standard_dqn,0.9,0.97,20,2.630283575747163,1.9662272393037112,3.2940795326498815,4.00543212890625e-05,0.000720977783203125
standard_dqn,0.95,0.97,20,-0.045803840665146825,-0.37488336757845264,0.28196668743616804,0.5034446716308594,1.0
standard_dqn,0.99,0.97,20,3.1843881878959435,0.925128744755126,6.890210721373579,0.01181793212890625,0.1181793212890625
