variant,gamma,model_seed,total_cost,trace_seed
standard_dqn,0.97,800,78.694899559021,3300000
standard_dqn,0.97,800,75.83769177794457,3300001
standard_dqn,0.97,800,70.9307801425457,3300002
standard_dqn,0.97,800,86.99932021796704,3300003
standard_dqn,0.97,800,79.69081391394138,3300004
standard_dqn,0.97,800,72.64729769676924,3300005
standard_dqn,0.97,800,70.7419032022357,3300006
standard_dqn,0.97,800,73.32284668833017,3300007
standard_dqn,0.97,800,96.64827653169633,3300008
standard_dqn,0.97,800,73.874790738523,3300009
standard_dqn,0.97,800,80.17531555891037,3300010
standard_dqn,0.97,800,75.95500127375126,3300011
standard_dqn,0.97,800,80.71552018225194,3300012
standard_dqn,0.97,800,66.29824318289756,3300013
standard_dqn,0.97,800,73.01445442438126,3300014
standard_dqn,0.97,800,86.46124541759491,3300015
standard_dqn,0.97,800,70.80935032069684,3300016
standard_dqn,0.97,800,78.20591937154532,3300017
standard_dqn,0.97,800,84.98811899125576,3300018
standard_dqn,0.97,800,69.94973243772984,3300019
standard_dqn,0.97,801,92.68402777761222,3301000
standard_dqn,0.97,801,82.94542747139931,3301001
standard_dqn,0.97,801,83.6277463465929,3301002
standard_dqn,0.97,801,78.60557205975056,3301003
standard_dqn,0.97,801,61.60020452737808,3301004
standard_dqn,0.97,801,83.11775373071433,3301005
standard_dqn,0.97,801,70.76938071101904,3301006
standard_dqn,0.97,801,96.34468810558319,3301007
standard_dqn,0.97,801,76.6041878759861,3301008
standard_dqn,0.97,801,82.81713713109494,3301009
standard_dqn,0.97,801,90.36858929693699,3301010
standard_dqn,0.97,801,56.42533677071333,3301011
standard_dqn,0.97,801,81.6312089189887,3301012
standard_dqn,0.97,801,74.01149577051402,3301013
standard_dqn,0.97,801,80.47908995300531,3301014
standard_dqn,0.97,801,74.34800779223443,3301015
standard_dqn,0.97,801,67.9439906552434,3301016
standard_dqn,0.97,801,75.56055633723736,3301017
standard_dqn,0.97,801,93.9088724553585,3301018
standard_dqn,0.97,801,91.5396965816617,3301019
standard_dqn,0.97,802,73.75266390442849,3302000
standard_dqn,0.97,802,88.92336320132017,3302001
standard_dqn,0.97,802,86.04759373664857,3302002
standard_dqn,0.97,802,81.37491414099932,3302003
standard_dqn,0.97,802,83.32817049622535,3302004
standard_dqn,0.97,802,66.12729340791702,3302005
standard_dqn,0.97,802,90.33137552589179,3302006
standard_dqn,0.97,802,86.29345814138651,3302007
standard_dqn,0.97,802,87.44073437154293,3302008
standard_dqn,0.97,802,64.26573940515519,3302009
standard_dqn,0.97,802,72.97837283611298,3302010
standard_dqn,0.97,802,69.30807644277812,3302011
standard_dqn,0.97,802,74.65273425877095,3302012
standard_dqn,0.97,802,77.05781828761101,3302013
standard_dqn,0.97,802,78.7519510269165,3302014
standard_dqn,0.97,802,72.14356238394976,3302015
standard_dqn,0.97,802,80.26872300356627,3302016
