variant,checkpoint_episode,mean,std,count
double_centered_full_action_dqn,300,79.26423351587354,1.6530024897814104,20
double_centered_full_action_dqn,600,77.729341089271,1.9888086235891802,20
double_centered_full_action_dqn,900,77.78913195171206,1.7270192943260572,20
double_dqn,300,81.49564762553014,2.8394675651443766,20
double_dqn,600,78.39778143388779,1.9795849455025465,20
double_dqn,900,78.30282411472872,2.1137024663859596,20
centered_full_action_dqn,300,79.33180937680788,1.7634470571570473,20
centered_full_action_dqn,600,77.66110048536771,1.8363428739786603,20
centered_full_action_dqn,900,77.55408800502866,1.8664656515314655,20
full_action_q_dqn,300,80.68760486954822,3.1805333072990103,20
full_action_q_dqn,600,78.14041280156746,2.230276256432368,20
full_action_q_dqn,900,77.85489233645424,1.8978403024554429,20
immediate_advantage_dqn,300,79.61488306273334,1.8955775959691166,20
immediate_advantage_dqn,600,77.84056529781967,1.8240797407484797,20
immediate_advantage_dqn,900,77.45912421976588,1.7512070975763037,20
standard_dqn,300,81.70210962680541,3.4009194690510887,20
standard_dqn,600,78.32949279484153,1.8848841906705498,20
standard_dqn,900,77.95599334727973,1.8818862906637968,20
