variant,model_seed,episode,cost,rolling_cost,immediate_cost,penalty,energy_use,latency_ms,thermal_violation,energy_violation,queue_violation,contact_violation,epsilon,loss,td_loss,auxiliary_loss
immediate_advantage_dqn,804,0,102.54102388173342,102.54102388173342,37.1846062913537,65.35641811192036,1.6700958274304867,21854.870635986328,0.0,28.0,0.0,1.0,0.9954761904761905,,,
immediate_advantage_dqn,804,1,135.7014504795294,119.12123718063141,49.860944442451,85.84050583591271,1.8916012682020664,28299.3627243042,0.0,33.0,8.0,0.0,0.9909523809523809,1.4080326557159424,1.391394853591919,0.055459268391132355
immediate_advantage_dqn,804,2,144.96874472814537,127.73707302980273,41.036074705421925,103.93266997801993,1.8288539573550224,24834.190410614014,0.0,36.0,16.0,3.0,0.9864285714285714,1.2816647663712502,1.2665013149380684,0.05054486123844981
immediate_advantage_dqn,804,3,104.76972007006407,121.99523478986806,37.92567094415426,66.84404927492142,1.7181259486824274,22753.20686340332,0.0,29.0,0.0,0.0,0.981904761904762,1.2535555139183998,1.2401463016867638,0.04469738691113889
immediate_advantage_dqn,804,4,119.0563952455944,121.40746688101333,42.89281156659126,76.16358384291591,1.8574140332639217,25813.357166290283,0.0,32.0,3.0,1.0,0.9773809523809524,1.0379067808389664,1.025716170668602,0.04063537484034896
immediate_advantage_dqn,804,5,120.97629781067371,121.33560536929006,45.22009341418743,75.7562048882246,1.8267131950706244,26093.26286315918,0.0,32.0,0.0,0.0,0.9728571428571429,0.8236698023974895,0.8153068423271179,0.027876520762220025
immediate_advantage_dqn,804,6,175.98993180967568,129.14336628934515,41.66635140776634,134.32358043171163,1.9030526848509908,26051.18511199951,0.0,35.0,27.0,2.0,0.9683333333333334,0.7178144790232182,0.7145955637097359,0.01072972736437805
immediate_advantage_dqn,804,7,132.57860512627803,129.57277114396175,40.96474523842335,91.61386063291273,1.8856733897700906,24515.275520324707,0.0,36.0,9.0,2.0,0.9638095238095238,0.8110021576285362,0.8045686483383179,0.021445040125399828
immediate_advantage_dqn,804,8,103.22195798158646,126.64490301480893,37.09590847790241,66.12604942917824,1.6972572207450867,22027.44785308838,0.0,27.0,0.0,0.0,0.9592857142857143,0.8602269366383553,0.8511536568403244,0.030244252760894597
immediate_advantage_dqn,804,9,134.80070236956112,127.46048295028416,40.32392178475857,94.47678073381415,1.8037229496985674,24142.20859527588,0.0,31.0,17.0,1.0,0.9547619047619048,0.63078748062253,0.6277889311313629,0.009995164989959449
immediate_advantage_dqn,804,10,106.1468874514103,125.52288335947743,37.326152846217155,68.82073418796062,1.7275836579501629,22192.505828857422,0.0,31.0,0.0,0.0,0.9502380952380952,0.4732365235686302,0.46983556635677814,0.011336531839333475
immediate_advantage_dqn,804,11,166.55779540088628,128.9424593629282,46.80905820429325,119.74873728599998,1.8777787303552032,27318.713485717773,0.0,35.0,25.0,0.0,0.9457142857142857,0.3402409739792347,0.3372266814112663,0.010047636402305216
immediate_advantage_dqn,804,12,144.5476035042007,130.14285506610298,41.59480665624142,102.95279726519178,1.8473508218303323,25302.761489868164,0.0,32.0,22.0,0.0,0.9411904761904761,0.2612428665161133,0.2589248279109597,0.007726785901468247
immediate_advantage_dqn,804,13,115.3434673845768,129.08575594599398,38.83196587860584,76.51150134205818,1.7425917200744152,23414.5633392334,0.0,31.0,0.0,0.0,0.9366666666666666,0.21049603167921305,0.208225816488266,0.0075673840183299035
immediate_advantage_dqn,804,14,142.5288864134866,129.9819646438268,40.22392192482948,102.30496426513973,1.8451198190450668,24724.9737701416,0.0,34.0,17.0,1.0,0.9321428571428572,0.18509984388947487,0.18281984515488148,0.007599995093187317
immediate_advantage_dqn,804,15,110.78112704306841,128.78191229377944,39.34971433132887,71.43141289055347,1.685575595125556,22579.12042236328,0.0,30.0,0.0,0.0,0.9276190476190476,0.44743128027766943,0.44541397225111723,0.006724348844727501
immediate_advantage_dqn,804,16,162.36227153689134,130.75722754337426,45.679808393120766,116.68246311396828,1.8879824159666896,26917.581398010254,0.0,34.0,28.0,1.0,0.9230952380952381,0.5222303569316864,0.519520940259099,0.009031406749272719
immediate_advantage_dqn,804,17,223.91831934111588,135.9328437543599,48.19166427850723,175.7266548688935,2.04966710601002,29182.544151306152,0.0,37.0,30.0,1.0,0.9185714285714286,0.35496903769671917,0.35257942974567413,0.007965359400259331
