variant,model_seed,episode,cost,rolling_cost,immediate_cost,penalty,energy_use,latency_ms,thermal_violation,energy_violation,queue_violation,contact_violation,epsilon,loss,td_loss,auxiliary_loss
full_action_q_dqn,805,0,118.45576777458191,118.45576777458191,40.30075457692146,78.15501278042794,1.7542453119531274,23525.44939804077,0.0,32.0,0.0,2.0,0.9954761904761905,,,
full_action_q_dqn,805,1,127.54999519724643,123.00288148591417,46.6602603495121,80.88973505635057,1.865505313500762,27121.14468383789,0.0,33.0,7.0,1.0,0.9909523809523809,1.8521335124969482,1.4283827543258667,1.4125025272369385
full_action_q_dqn,805,2,149.90009523482036,131.96861940221623,41.092788979411125,108.80730619580457,1.8524840800091624,24698.545036315918,0.0,32.0,24.0,1.0,0.9864285714285714,1.6780630722641945,1.294366031885147,1.2789901047945023
full_action_q_dqn,805,3,136.59872036436457,133.12614464275333,40.22616494446993,96.37255527833358,1.8283877680078149,23971.26774597168,0.0,39.0,6.0,1.0,0.981904761904762,1.7344653233885765,1.335271768271923,1.3306451365351677
full_action_q_dqn,805,4,120.81837918758393,130.66459155171944,41.86701908707619,78.95136045813561,1.7848889846354723,24577.325328826904,0.0,33.0,0.0,1.0,0.9773809523809524,1.49407958984375,1.151189062744379,1.1429683715105057
full_action_q_dqn,805,5,104.88454467058182,126.36791707152985,37.39133985340595,67.49320438504219,1.7218130556866527,22168.62830734253,0.0,29.0,0.0,0.0,0.9728571428571429,1.2096897661685944,0.9299282170832157,0.9325384609401226
full_action_q_dqn,805,6,135.84245454667982,127.7214224251227,46.62140019237995,89.22105472682888,1.859851193614304,26912.14008331299,0.0,33.0,17.0,4.0,0.9683333333333334,1.0146389342844486,0.7799253202974796,0.7823786549270153
full_action_q_dqn,805,7,128.91618044710003,127.87076717786987,41.7982344776392,87.11794537341434,1.823153373785317,24656.307907104492,0.0,37.0,14.0,0.0,0.9638095238095238,0.97781977429986,0.7524060197174549,0.7513791732490063
full_action_q_dqn,805,8,139.90268516920327,129.2076469546847,41.917267709970474,97.98541713140726,1.792824967764318,24834.343658447266,0.0,33.0,16.0,1.0,0.9592857142857143,1.0044559203088284,0.7691050954163074,0.7845027185976505
full_action_q_dqn,805,9,147.98191587088814,131.08507384630502,43.05036659538746,104.93154948411697,1.8957933820784092,25733.922359466553,0.0,34.0,27.0,0.0,0.9547619047619048,0.7284022718667984,0.5581009909510612,0.5676709357649088
full_action_q_dqn,805,10,120.78509519994259,130.14871215118117,44.63795268535614,76.14714249968529,1.8126902068033814,25192.00746154785,0.0,32.0,0.0,0.0,0.9502380952380952,0.5154231879860163,0.3952156361192465,0.4006918128579855
full_action_q_dqn,805,11,114.41083893924952,128.83722271685352,39.851343400776386,74.55949458479881,1.7826184816658497,23541.902141571045,0.0,31.0,0.0,0.0,0.9457142857142857,0.34038406051695347,0.25997263472527266,0.26803806610405445
full_action_q_dqn,805,12,154.95812124416602,130.84652260356987,39.434946060180664,115.52317510947954,1.769432700239122,23253.959785461426,0.0,36.0,23.0,2.0,0.9411904761904761,0.3052319074049592,0.23323560785502195,0.23998764250427485
full_action_q_dqn,805,13,104.93125142157078,128.99543180485566,37.23952826857567,67.69172328710556,1.6981458058580756,22039.245250701904,0.0,31.0,0.0,1.0,0.9366666666666666,0.2830306300893426,0.21583175659179688,0.22399624809622765
full_action_q_dqn,805,14,167.12837255847984,131.53762785509727,46.98573084175587,120.14264167202049,1.9563914788886905,28072.683170318604,0.0,35.0,30.0,1.0,0.9321428571428572,0.267856958322227,0.20333813782781363,0.21506273467093706
full_action_q_dqn,805,15,150.37834483379294,132.71517266626574,46.16119557619095,104.21714940661359,1.9170703738927841,27726.4789352417,0.0,31.0,20.0,1.0,0.9276190476190476,0.7045953664928675,0.5405468130484223,0.5468284599483013
full_action_q_dqn,805,16,107.6484257131815,131.24065813961374,39.47600057721138,68.17242483794689,1.7133222855627537,22916.97003173828,0.0,30.0,0.0,2.0,0.9230952380952381,0.762924037873745,0.583053333684802,0.5995690003037453
full_action_q_dqn,805,17,162.6256310689442,132.98426774679876,40.14803136885166,122.47759967029018,1.839320668950677,24455.665618896484,0.0,34.0,21.0,1.0,0.9185714285714286,0.47887797839939594,0.36657052021473646,0.3743581809103489
