variant,model_seed,episode,cost,rolling_cost,immediate_cost,penalty,energy_use,latency_ms,thermal_violation,energy_violation,queue_violation,contact_violation,epsilon,loss,td_loss,auxiliary_loss
immediate_advantage_dqn,802,0,117.51771372198749,117.51771372198749,35.83170376718044,81.68600983559776,1.7264740923419595,21663.689514160156,0.0,32.0,7.0,2.0,0.9954761904761905,,,
immediate_advantage_dqn,802,1,217.26381774633722,167.39076573416236,46.59637212753296,170.66744561880427,1.965910098515451,27926.671543121338,0.0,37.0,38.0,2.0,0.9909523809523809,2.1690971851348877,2.1567633152008057,0.04111252725124359
immediate_advantage_dqn,802,2,167.96579406192458,167.58244184341643,44.84817211329937,123.11762145688688,1.9080088920891285,26724.202533721924,0.0,33.0,25.0,1.0,0.9864285714285714,1.9260294288396835,1.9134525209665298,0.04192305519245565
immediate_advantage_dqn,802,3,185.8722271900132,172.15488818006563,44.56601031124592,141.30621683406383,1.971857650205493,27561.36661529541,0.0,34.0,23.0,2.0,0.981904761904762,1.9578076004981995,1.9462643414735794,0.03847750322893262
immediate_advantage_dqn,802,4,105.0955648869276,158.74302352143803,34.67276065796614,70.42280392348766,1.6484686452895403,20800.173027038574,0.0,31.0,0.0,0.0,0.9773809523809524,1.7933982014656067,1.785365216434002,0.026776660000905395
immediate_advantage_dqn,802,5,121.25159154217462,152.49445152489412,45.118638068437576,76.1329526839755,1.876912558451295,26471.745491027832,0.0,32.0,2.0,1.0,0.9728571428571429,1.45376006513834,1.447326809167862,0.021444193087518215
immediate_advantage_dqn,802,6,122.85825012686472,148.2607084680328,38.2819249778986,84.5763247317336,1.7716882629320025,23022.338722229004,0.0,33.0,7.0,0.0,0.9683333333333334,1.1546784155070782,1.147288478910923,0.02463309734594077
immediate_advantage_dqn,802,7,108.72086971521378,143.3182286239304,41.84923408180475,66.87163504481316,1.8256328478455544,25060.586265563965,0.0,30.0,1.0,0.0,0.9638095238095238,1.0589711144566536,1.053916111588478,0.016850011015776545
immediate_advantage_dqn,802,8,117.04620985620294,140.39911542751622,37.60219042003155,79.4440185868052,1.7451585214585066,22707.178966522217,0.0,33.0,4.0,0.0,0.9592857142857143,0.9821902997791767,0.9745418056845665,0.025495002220850438
immediate_advantage_dqn,802,9,122.356859408319,138.5948898255965,42.490374974906445,79.86648543179035,1.7772317240014672,24609.068981170654,0.0,33.0,0.0,0.0,0.9547619047619048,0.685603741556406,0.6805524490773678,0.01683763146866113
immediate_advantage_dqn,802,10,103.09040859341621,135.3672097135801,37.06218063831329,66.02822786569595,1.7078590150922537,22158.42297744751,0.0,27.0,0.0,1.0,0.9502380952380952,0.5193613059818745,0.5148601885885,0.015003721695393324
immediate_advantage_dqn,802,11,107.60138615352062,133.05339108357518,36.223332569003105,71.37805383783726,1.7489724084734917,22491.074993133545,0.0,31.0,1.0,1.0,0.9457142857142857,0.37423074804246426,0.36894028820097446,0.017634862510021776
immediate_advantage_dqn,802,12,152.51493122881567,134.55043263320906,39.72238165140152,112.79254965191998,1.9144757073372602,25089.462036132812,0.0,34.0,25.0,2.0,0.9411904761904761,0.3157280720770359,0.3097155038267374,0.02004189172293991
immediate_advantage_dqn,802,13,146.87152745727062,135.43051083492773,38.989351227879524,107.88217594626903,1.8467323603108525,24342.10313796997,0.0,34.0,16.0,0.0,0.9366666666666666,0.28493642900139093,0.27993893064558506,0.016658322827424854
immediate_advantage_dqn,802,14,125.9621618628502,134.79928757012257,46.10702668130398,79.85513463020325,1.8166704820469022,26217.81187438965,0.0,34.0,0.0,1.0,0.9321428571428572,0.25987154338508844,0.25546737015247345,0.014680578198749572
immediate_advantage_dqn,802,15,179.23250852351572,137.57636387970965,45.08443607389927,134.1480725092211,1.9753298768773675,27391.112258911133,0.0,36.0,23.0,2.0,0.9276190476190476,0.538088551722467,0.5334313316270709,0.015524073096457869
immediate_advantage_dqn,802,16,91.96061983704567,134.89308481837648,35.650732792913914,56.30988737940788,1.6431263126432896,21395.78295135498,0.0,26.0,0.0,0.0,0.9230952380952381,0.5666113086044788,0.5612172447144985,0.017980210133828223
immediate_advantage_dqn,802,17,108.56077241301537,133.43017857363418,35.198452070355415,73.36232035756112,1.6501768361777067,20470.34893798828,0.0,32.0,0.0,1.0,0.9185714285714286,0.3725023837760091,0.3686602935194969,0.012806961603928357
immediate_advantage_dqn,802,18,124.6446899946871,132.96778443790015,40.53013598918915,84.11455419921305,1.8279430251568556,24668.641479492188,0.0,33.0,13.0,0.0,0.914047619047619,0.2957960907369852,0.291815934702754,0.013267185015138239
immediate_advantage_dqn,802,19,126.35029131097603,132.63690978155392,41.70135375112295,84.64893772376585,1.8015258572995663,24739.976585388184,0.0,32.0,13.0,1.0,0.9095238095238095,0.2684580236673355,0.2652965225279331,0.010538346599787474
immediate_advantage_dqn,802,20,180.9682489229242,135.80943654160077,45.039379477500916,135.92886944542332,2.0370727330446243,28374.715307235718,0.0,33.0,25.0,0.0,0.905,0.24461966194212437,0.24156275764107704,0.010189676540903747
immediate_advantage_dqn,802,21,142.3329507384891,132.06289319120836,43.22895482927561,99.10399599862043,1.8651907872408628,25600.675708770752,0.0,33.0,27.0,2.0,0.9004761904761904,0.2480491204187274,0.24544671084731817,0.008674697892274708
immediate_advantage_dqn,802,22,156.46036237881822,131.48762160705306,46.34791315346956,110.11244932220622,1.9068127209320664,27508.49813079834,0.0,35.0,21.0,0.0,0.895952380952381,0.22086028195917606,0.21820223703980446,0.008860145026119426
immediate_advantage_dqn,802,23,127.91927152342039,128.5899738237234,39.76470889151096,88.15456324285704,1.7580940062180161,23623.49568939209,0.0,35.0,10.0,0.0,0.8914285714285715,0.4988646153360605,0.4962046556174755,0.008866526768542826
immediate_advantage_dqn,802,24,108.12740862369537,128.7415660105618,36.8589653223753,71.26844325661659,1.6722834836691618,21253.10585784912,0.0,31.0,0.0,0.0,0.8869047619047619,0.5057462397962809,0.5025913119316101,0.010516431939322501
immediate_advantage_dqn,802,25,129.8772929018842,129.17285107854724,42.95184375345707,86.92544844807257,1.8497956786304712,24849.375,0.0,36.0,5.0,0.0,0.8823809523809524,0.3654086124151945,0.3628310840576887,0.00859175727237016
immediate_advantage_dqn,802,26,191.7076478918422,132.6153209667961,42.713393434882164,148.9942545314658,2.033428686670959,27160.051361083984,0.0,37.0,19.0,2.0,0.8778571428571429,0.3076661666855216,0.30523028690367937,0.008119606878608465
immediate_advantage_dqn,802,27,109.44572572559119,132.651563767315,38.225471161305904,71.2202543258667,1.6669070394709706,21619.40036392212,0.0,31.0,0.0,2.0,0.8733333333333333,0.31612016446888447,0.31379432510584593,0.007752791338134557
immediate_advantage_dqn,802,28,111.63215723633766,132.38086113632173,39.44038549810648,72.19177186489105,1.724196445196867,23037.567665100098,0.0,31.0,0.0,0.0,0.8688095238095238,0.2726614559069276,0.269988851621747,0.00890867444104515
immediate_advantage_dqn,802,29,119.32729865923562,132.22938309886757,38.252938866615295,81.07435968831217,1.7253774711862206,22472.013801574707,0.0,33.0,9.0,1.0,0.8642857142857143,0.252805482596159,0.2499689683318138,0.009455054998397827
immediate_advantage_dqn,802,30,109.66357719600201,132.55804152899685,41.093985214829445,68.56959138512612,1.7736726542934775,24124.235221862793,0.0,30.0,1.0,2.0,0.8597619047619047,0.32780071441084146,0.32525376696139574,0.008489832049235702
immediate_advantage_dqn,802,31,104.05436560976403,132.380690501809,36.47253801673651,67.58182807731527,1.6816355902701616,21651.98601913452,0.0,32.0,2.0,0.0,0.8552380952380952,0.5797302331775427,0.5770773505792022,0.00884294431307353
immediate_advantage_dqn,802,32,121.12777974605561,130.811332927671,37.15946585685015,83.9683142989874,1.7554494021460414,22732.545448303223,0.0,37.0,0.0,2.0,0.8507142857142858,0.46050870046019554,0.4573100581765175,0.010662145854439586
immediate_advantage_dqn,802,33,121.95331535529095,129.56542232257203,41.29984176158905,80.65347363840539,1.8319628769531846,25035.07434463501,0.0,32.0,8.0,1.0,0.8461904761904762,0.3595990873873234,0.35679380036890507,0.009350959968287498
immediate_advantage_dqn,802,34,202.77005632827996,133.40581704584355,40.82867433130741,161.94138214598416,1.9172614207491279,25525.05491256714,0.0,34.0,31.0,1.0,0.8416666666666667,0.37147308327257633,0.3691840600222349,0.007630088570294902
immediate_advantage_dqn,802,35,117.56602009201052,130.3224926242683,40.72971932590008,76.83630139195921,1.7904299777001143,23975.549995422363,0.0,32.0,5.0,1.0,0.8371428571428572,0.3048250339925289,0.3013386223465204,0.01162137242499739
immediate_advantage_dqn,802,36,86.6821836605668,130.05857081544437,31.16763786226511,55.514546155929565,1.5825736867263913,18982.92278289795,0.0,25.0,0.0,1.0,0.8326190476190476,0.3984142644330859,0.3951971810311079,0.010723629733547568
immediate_advantage_dqn,802,37,132.8248421075947,131.2717743001733,38.65337432920933,94.17146751761504,1.840985406190157,23459.417778015137,0.0,33.0,11.0,3.0,0.8280952380952381,0.33676417637616396,0.33433216996490955,0.008106699649943039
immediate_advantage_dqn,802,38,92.77910599857569,129.6784951003677,32.140819780528545,60.63828665018082,1.6391989886760712,19891.726543426514,0.0,26.0,0.0,1.0,0.8235714285714286,0.31088387314230204,0.3074411666020751,0.01147567929001525
immediate_advantage_dqn,802,39,112.05420087277889,128.96369057845786,40.8783665150404,71.17583453655243,1.7751535158604383,23959.59828186035,0.0,29.0,0.0,2.0,0.819047619047619,0.6378525383770466,0.6340587995946407,0.012645767943467945
immediate_advantage_dqn,802,40,114.1296817958355,125.62176222210344,39.231347501277924,74.8983343988657,1.7292977962642908,23017.949905395508,0.0,32.0,0.0,0.0,0.8145238095238095,0.513404905796051,0.5097231566905975,0.012272504973225296
immediate_advantage_dqn,802,41,115.55945828557014,124.28308759945749,38.208048060536385,77.35141068696976,1.743269469588995,22332.310232162476,0.0,34.0,0.0,0.0,0.81,0.4271192504093051,0.4241793565452099,0.009799651190405712
immediate_advantage_dqn,802,42,130.32679753363132,122.97640935719815,42.23289433121681,88.09390341103077,1.8470115121454,24499.641941070557,0.0,37.0,1.0,1.0,0.8054761904761905,0.42915393970906734,0.42579028382897377,0.011212182638701051
immediate_advantage_dqn,802,43,97.14831910431386,121.43786173624281,37.942993834614754,59.205325642228125,1.6360331494361162,21476.82438659668,0.0,26.0,0.0,1.0,0.800952380952381,0.39603976998478174,0.3929919609799981,0.010159363388083875
immediate_advantage_dqn,802,44,103.20177076905966,121.19157984351105,35.696016915142536,67.50575354099274,1.635511732660234,20683.78288078308,0.0,29.0,0.0,2.0,0.7964285714285715,0.37021679151803255,0.36645510978996754,0.01253893377725035
immediate_advantage_dqn,802,45,163.3402171450883,122.86472605567124,46.66782557964325,116.67239144623576,1.9603756545111537,27430.39391708374,0.0,37.0,21.0,2.0,0.7919047619047619,0.35950906947255135,0.35552645195275545,0.01327539759222418
immediate_advantage_dqn,802,46,105.76180959641934,118.5674341409001,37.282962039113045,68.47884722948075,1.694851971231401,22187.359992980957,0.0,30.0,0.0,2.0,0.7873809523809524,0.49575778003782034,0.4921536464244127,0.012013756961096078
immediate_advantage_dqn,802,47,101.02032566070557,118.14616413765582,35.74415993690491,65.27616614103317,1.6241098027676344,20613.046520233154,0.0,30.0,0.0,0.0,0.7828571428571429,0.5623331684619188,0.5589210148900747,0.01137385395122692
immediate_advantage_dqn,802,48,109.47914621430635,118.03851358655422,36.37521094828844,73.10393413352966,1.760447227396071,22228.942504882812,0.0,29.0,3.0,2.0,0.7783333333333333,0.5065672248601913,0.5033246017992496,0.010808739811182022
