variant,model_seed,episode,cost,rolling_cost,immediate_cost,penalty,energy_use,latency_ms,thermal_violation,energy_violation,queue_violation,contact_violation,epsilon,loss,td_loss,auxiliary_loss,preview_transition_scale
centered_full_action_dqn,812,0,103.03328867256641,103.03328867256641,36.461854830384254,66.5714335590601,1.7272336520254612,21920.5168800354,0.0,27.0,0.0,3.0,0.9954761904761905,,,,0.85
centered_full_action_dqn,812,1,158.71712352643664,130.87520609950153,43.368828266859055,115.34829522977526,1.8226012391969562,25169.48838043213,0.0,36.0,34.0,1.0,0.9909523809523809,1.5873026847839355,1.5798858404159546,0.024722669273614883,0.85
centered_full_action_dqn,812,2,107.53173922896386,123.09405047598898,38.73057056963444,68.80116859972478,1.7282254798337817,22750.5037651062,0.0,32.0,0.0,1.0,0.9864285714285714,1.3714480847120285,1.36462040245533,0.022758940351195633,0.85
centered_full_action_dqn,812,3,113.38717518746853,120.66733165385887,38.960541009902954,74.42663362622261,1.7524677095934749,23121.66534423828,0.0,30.0,0.0,1.0,0.981904761904762,1.2207448855042458,1.2158211395144463,0.016412484110333025,0.85
centered_full_action_dqn,812,4,107.51222983002663,118.03631128909242,39.711066260933876,67.80116383731365,1.6786982333287597,23026.617156982422,0.0,29.0,0.0,1.0,0.9773809523809524,1.107648428529501,1.1052397564053535,0.00802887714235112,0.85
centered_full_action_dqn,812,5,125.23700095713139,119.23642623376558,45.70256109535694,79.534438803792,1.7800285844132304,25224.43934249878,0.0,35.0,0.0,0.0,0.9728571428571429,0.8444790579378605,0.840730894356966,0.012493899383116513,0.85
centered_full_action_dqn,812,6,201.39619990531202,130.97353675827222,46.625752687454224,154.77044718805544,1.9690721053630114,27467.052101135254,0.0,35.0,33.0,1.0,0.9683333333333334,0.7802175246179104,0.7769823148846626,0.01078401185804978,0.85
centered_full_action_dqn,812,7,114.4838050660491,128.91232029674433,42.697189413011074,71.78661577224732,1.787545332685113,24886.269916534424,0.0,31.0,1.0,0.0,0.9638095238095238,0.8888854943215847,0.8859755285084248,0.009699891088530421,0.85
centered_full_action_dqn,812,8,120.03438399732113,127.92588293014175,41.05096499621868,78.98341861367226,1.7511538825929165,23929.391719818115,0.0,33.0,0.0,0.0,0.9592857142857143,0.8595238216221333,0.8537608720362186,0.01920987357152626,0.85
centered_full_action_dqn,812,9,130.12725418121397,128.14602005524898,40.83175392448902,89.29549998850403,1.819293518550694,24317.32989501953,0.0,35.0,8.0,0.0,0.9547619047619048,0.6350527703762054,0.6314120925962925,0.012135619821492583,0.85
centered_full_action_dqn,812,10,95.9106865376234,125.2155351900103,34.41341236233711,61.49727427959442,1.6779054775834084,21224.154876708984,0.0,28.0,0.0,0.0,0.9502380952380952,0.4950780179351568,0.49178672954440117,0.010970959032420069,0.85
centered_full_action_dqn,812,11,147.01638361262127,127.0322725585612,40.330702513456345,106.68568103956031,1.838633019477129,24783.035551071167,0.0,36.0,17.0,1.0,0.9457142857142857,0.36476922407746315,0.36070785485208035,0.01353788358392194,0.85
centered_full_action_dqn,812,12,102.69220610216615,125.15995975422312,36.358544677495956,66.33366112664697,1.68974279332906,21728.321670532227,0.0,29.0,1.0,1.0,0.9411904761904761,0.3181808991357684,0.3144035479053855,0.01259117858717218,0.85
centered_full_action_dqn,812,13,126.61694571316279,125.26403017986168,43.978117197752,82.63882927537001,1.8604506747797132,26375.47470855713,0.0,33.0,8.0,0.0,0.9366666666666666,0.2611933844164014,0.2577674873173237,0.011419650923926383,0.85
centered_full_action_dqn,812,14,116.14392975717783,124.65602348501608,42.67136738449335,73.4725631326437,1.7644452415406704,24247.242500305176,0.0,31.0,0.0,0.0,0.9321428571428572,0.25047472305595875,0.24710253346711397,0.011240634543355554,0.85
