variant,model_seed,episode,cost,rolling_cost,immediate_cost,penalty,energy_use,latency_ms,thermal_violation,energy_violation,queue_violation,contact_violation,epsilon,loss,td_loss,auxiliary_loss,preview_transition_scale
centered_full_action_dqn,806,0,253.0062798524306,253.0062798524306,46.752939343452454,206.25334059838505,2.0538767855614424,29014.21036529541,0.0,37.0,34.0,2.0,0.9954761904761905,,,,0.85
centered_full_action_dqn,806,1,157.99992038691022,205.50310011967042,45.14809748530388,112.85182294630981,1.8631957117468119,26628.588619232178,0.0,33.0,22.0,2.0,0.9909523809523809,2.7596936225891113,2.749140739440918,0.03517609089612961,0.85
centered_full_action_dqn,806,2,111.34507732093334,174.1170925200914,38.4672609269619,72.87781664729118,1.7182048382237554,23043.860191345215,0.0,32.0,0.0,0.0,0.9864285714285714,2.352451428771019,2.3429764956235886,0.0315831140615046,0.85
centered_full_action_dqn,806,3,129.08036903050765,162.85791164769546,43.0416616499424,86.03870744016989,1.8230587961152196,25928.99889755249,0.0,33.0,9.0,0.0,0.981904761904762,1.8683092221617699,1.859316848218441,0.029974590754136443,0.85
centered_full_action_dqn,806,4,113.02614721655846,152.89155876146805,39.15070027112961,73.87544764578342,1.7226166659966111,22852.069568634033,0.0,31.0,0.0,3.0,0.9773809523809524,1.570464089512825,1.5620942190289497,0.027899530017748475,0.85
centered_full_action_dqn,806,5,148.54360760440053,152.16690023529014,41.108702063560486,107.43490540672961,1.8563895970582962,25249.7977142334,0.0,35.0,19.0,0.0,0.9728571428571429,1.2360495775938034,1.2309084832668304,0.017136950278654695,0.85
centered_full_action_dqn,806,6,176.036256998619,155.57680834433714,43.7542592138052,132.28199782951725,1.981083245947957,27444.35112762451,0.0,33.0,25.0,0.0,0.9683333333333334,1.1336101070046425,1.1298133432865143,0.012655846192501485,0.85
centered_full_action_dqn,806,7,148.76405137136675,154.7252137227158,38.82663545757532,109.9374158765385,1.824246778152883,23982.86792755127,0.0,36.0,20.0,2.0,0.9638095238095238,1.2020448967814445,1.1992729157209396,0.009239954699296504,0.85
centered_full_action_dqn,806,8,120.95261047780514,150.97270225105908,38.57404862344265,82.37856245040894,1.7279661605134606,22836.156158447266,0.0,34.0,0.0,1.0,0.9592857142857143,1.1986307390034199,1.1958455257117748,0.00928404091973789,0.85
centered_full_action_dqn,806,9,117.72843841311841,147.648275867265,40.876573130488396,76.85186534223467,1.7908207280561328,24309.780109405518,0.0,31.0,9.0,1.0,0.9547619047619048,0.8869231380522251,0.88414666056633,0.009254943113774061,0.85
centered_full_action_dqn,806,10,127.10501500288377,145.78070669777583,39.94407261908054,87.16094244340786,1.8151397602632642,23944.316150665283,0.0,34.0,13.0,0.0,0.9502380952380952,0.6795724481344223,0.6768064238131046,0.009220076928613707,0.85
centered_full_action_dqn,806,11,118.15564343333244,143.47861809240553,39.195587798953056,78.96005594730377,1.7970727104693651,23445.364517211914,0.0,32.0,0.0,0.0,0.9457142857142857,0.4941129256039858,0.49102806113660336,0.010282876231940463,0.85
centered_full_action_dqn,806,12,121.76898383180891,141.8086462262058,39.96535383164883,81.8036295829276,1.7515686079859734,23832.41986465454,0.0,35.0,9.0,0.0,0.9411904761904761,0.375328266993165,0.3730680476874113,0.007534062780905515,0.85
centered_full_action_dqn,806,13,119.03457564860582,140.18192689923438,43.67185781151056,75.36271768808365,1.7645407812669873,24700.78854751587,0.0,31.0,0.0,1.0,0.9366666666666666,0.32633829675614834,0.32427739538252354,0.006869673088658601,0.85
centered_full_action_dqn,806,14,113.18739472329617,138.3822914208385,38.28577011078596,74.90162432193756,1.7195072369650006,22480.982110977173,0.0,30.0,0.0,1.0,0.9321428571428572,0.2794845039024949,0.277496580965817,0.0066264009510632604,0.85
centered_full_action_dqn,806,15,142.75340879750019,138.65548625687984,41.279346495866776,101.47406204831366,1.8603137088939548,24914.631839752197,0.0,33.0,20.0,0.0,0.9276190476190476,0.6218794202432036,0.6196881057694554,0.007304380211280659,0.85
centered_full_action_dqn,806,16,107.2183617502451,136.8062436388425,38.62352393567562,68.59483769536018,1.6785912308841944,21921.540924072266,0.0,30.0,0.0,0.0,0.9230952380952381,0.7079438213258982,0.7053413465619087,0.008674922079080716,0.85
