scenario,policy,total_cost_mean,immediate_cost_mean,penalty_mean,energy_use_mean,latency_ms_mean,transmitted_mbit_mean,thermal_violation_mean,energy_violation_mean,queue_violation_mean,contact_violation_mean,planning_time_ms_mean,maximum_heat_mean,minimum_energy_mean,threshold_free_episode_mean,onboard_fraction_mean,ground_fraction_mean,hybrid_fraction_mean,total_cost_sd,immediate_cost_sd,penalty_sd,energy_use_sd,latency_ms_sd,transmitted_mbit_sd,thermal_violation_sd,energy_violation_sd,queue_violation_sd,contact_violation_sd,planning_time_ms_sd,maximum_heat_sd,minimum_energy_sd,threshold_free_episode_sd,onboard_fraction_sd,ground_fraction_sd,hybrid_fraction_sd,n_model_seeds
burst,contextual_bandit,136.55040142541606,31.779669152777643,104.77073228325548,1.7080776271806097,19050.132383375167,1491.007524253279,0.0,33.6375,28.722500000000004,1.9225,0.0,0.19025361627340315,0.0,0.0,7.8125e-05,0.49953125,0.500390625,11.195066009602034,0.5131265763376166,10.937066934332796,0.013512868767520893,223.18342357100798,31.841792574186158,0.0,0.6855414686677674,4.682342952659041,0.27884866674841463,0.0,0.00019907817325493857,0.0,0.0,0.000240463676269958,0.015024223177002123,0.015090572565194284,20
burst,fixed_ground,319.2467237088028,31.996316643264144,287.25040706553875,2.299083119845018,27326.31510528565,2568.160271167755,0.0,39.1825,48.335,3.1125,0.0,0.19001285031437873,0.0,0.0,0.0,1.0,0.0,4.149269022816231,0.2948697255331198,4.007608680870111,0.03043436948540116,416.33865232316157,20.696588326480367,0.0,0.565981913417548,0.8548776459082803,0.2674809388191594,0.0,7.453495027447035e-05,0.0,0.0,0.0,0.0,0.0,20
burst,fixed_onboard,290.1899029445771,68.51435742624105,221.6755455184479,2.0902252760855484,38411.593496646885,76.84725188808515,0.0,37.7875,36.065,0.0,0.0,0.199569203928113,0.0,0.0,1.0,0.0,0.0,6.113228846149136,0.5753154884737938,5.783071145360302,0.01140455491100558,330.78624248085913,1.147866084714432,0.0,0.36845159647824643,0.774613655824292,0.0,0.0,0.0013359124084453258,0.0,0.0,0.0,0.0,0.0,20
burst,immediate_argmin,241.19734847991012,29.963807952590287,211.2335405280835,1.9420836917613635,22156.237722702026,2096.239135341197,0.0,34.325,36.230000000000004,2.6225,0.0,0.19026075288653374,0.0,0.0,0.00011718750000000002,0.793984375,0.2058984375,6.837583142654505,0.29183484253424835,6.654196218252776,0.028306547408172643,404.9977908772242,32.09498208589583,0.0,0.514653690410001,1.1770167462923509,0.2940081452505768,0.0,0.00022671709330227666,0.0,0.0,0.0002862090222910338,0.00977129769451675,0.009762664024794651,20
burst,centered_full_action_dqn,96.88482853857987,31.65135376797989,65.23347475721687,1.5815335287200287,17892.049205827712,983.3782859965413,0.0,28.7075,0.0,1.3175000000000001,0.0,0.19171729266643525,0.0,0.0,0.0019140625000000002,0.2946875,0.7033984375,1.9395759495751166,0.5591780702053135,1.580306597911453,0.010870928935484475,231.92761573617807,100.49153160340924,0.0,0.5289699523851192,0.0,0.3001205897985885,0.0,0.0007341471118299163,0.0,0.0,0.004098673402901397,0.05658514467474517,0.05812519619643599,20
burst,mpc_h4,108.34735332994671,31.487785438541323,76.85956788950548,1.6832128125941381,18875.349969758987,1435.1122805391997,0.0,32.255,4.15,1.0825,312.3460880154744,0.19030441608279944,0.0,0.0,0.0047265625,0.49242187499999995,0.5028515625,1.9928027986384163,0.4807422528146629,1.6071114807674738,0.011569550596151718,228.28297616747733,23.309123727265614,0.0,0.4263986274294097,0.9847521729375689,0.2196138956393578,5.411087754659877,0.0002601904678547656,0.0,0.0,0.0015308261698623808,0.010411148483558912,0.00986674619147933,20
burst,standard_dqn,97.36063501976989,31.903838568544018,65.45679643310234,1.5847645338461736,17957.041823773383,945.3375765060075,0.0,28.76,0.0,1.2725,0.0,0.19190480407327412,0.0,0.0,0.00578125,0.27230468750000003,0.7219140625,2.0140631226695733,0.734484632296699,1.5845398920147744,0.009897713501480061,204.15085004296998,142.39707500634492,0.0,0.4991044611680957,0.0,0.3010835694445542,0.0,0.0007109981785138307,0.0,0.0,0.0105469511449493,0.0805636955036394,0.07966954898107473,20
burst,threshold,238.74015542205092,32.012112829573454,206.7280425943401,1.9645590239833108,23047.391576509475,2053.797425732482,0.0,34.17,34.472500000000004,0.9724999999999999,0.0,0.19026075288653374,0.0,0.0,0.0225,0.762109375,0.215390625,6.564908894066521,0.4015506348181804,6.303258583208404,0.02192713677490541,336.76504659058594,20.680755097121914,0.0,0.5302432411043481,0.8456506370836614,0.16421664124916782,0.0,0.00022671709330227666,0.0,0.0,0.003005528759636147,0.006660549636765425,0.006997359846333395,20
energy_limited,contextual_bandit,133.26172299435132,27.478804533910004,105.78291851358259,1.5946610142616555,17132.62219473362,1470.8147939337791,0.0,42.6425,10.3925,1.9925000000000002,0.0,0.190284220315516,0.0,0.0,7.8125e-05,0.5701562499999999,0.42976562500000004,4.195024830282689,0.3730278396129536,3.966888391219183,0.010088648299784984,178.69380715489785,25.70921962050926,0.0,0.7768483900045307,4.007305007240231,0.24348078925624117,0.0,0.00022630157439893655,0.0,0.0,0.000240463676269958,0.013870676335585773,0.013871371102614452,20
energy_limited,fixed_ground,327.8641407334,28.394989836215974,299.4691508975939,2.0447603380307555,23670.8112441349,2307.5062146043774,0.0,47.525,48.31,2.9675000000000002,0.0,0.19001285031437873,0.0,0.0,0.0,1.0,0.0,5.633031407350587,0.23801989148709035,5.516263511445818,0.021751455026814043,296.9887942325905,17.95066120750974,0.0,0.7335027714940632,0.8538766088597891,0.26718562441631644,0.0,7.453495027447035e-05,0.0,0.0,0.0,0.0,0.0,20
