scenario,comparison,n_pairs,mean_difference,ci95_low,ci95_high,relative_improvement_percent,exact_sign_p,negative_seed_pairs,positive_seed_pairs,loo_mean_min,loo_mean_max,holm_adjusted_p,in_prespecified_family,mean_better,supported
burst,centered_full_action_dqn - standard_dqn,20,-0.47580648119002544,-0.7303323225583889,-0.27820726402429874,0.48870519496242903,0.0025768280029296875,17,3,-0.50781555022064,-0.37069402635097504,0.012884140014648438,True,True,True
burst,centered_full_action_dqn - mpc_h4,20,-11.462524791366835,-11.89075454601852,-11.02366667014501,10.579422975345214,1.9073486328125e-06,20,0,-11.586299564494533,-11.366435725328541,9.5367431640625e-06,True,True,True
burst,mpc_h4 - immediate_argmin,20,-132.8499951499634,-135.05919005149295,-130.63754372330862,55.07937628138096,1.9073486328125e-06,20,0,-133.2984796507309,-132.49179897052923,9.5367431640625e-06,True,True,True
energy_limited,centered_full_action_dqn - standard_dqn,20,-0.6784194719288472,-1.170681654941523,-0.2075738252664887,0.5668884851497598,0.01181793212890625,16,4,-0.7893851605469444,-0.5147621325207357,0.03545379638671875,True,True,True
energy_limited,centered_full_action_dqn - mpc_h4,20,-7.002344195336297,-7.550383887882479,-6.393331518130793,5.557497088239556,1.9073486328125e-06,20,0,-7.189950839445538,-6.876171475267154,9.5367431640625e-06,True,True,True
energy_limited,mpc_h4 - immediate_argmin,20,-99.31324925038112,-102.00792496511558,-96.52884616008593,44.07821539636194,1.9073486328125e-06,20,0,-99.90664321207652,-98.81781349128596,9.5367431640625e-06,True,True,True
link_limited,centered_full_action_dqn - standard_dqn,20,-0.46311788116768043,-0.7666999952614331,-0.1721336845145574,0.45287854263021726,0.04138946533203125,15,5,-0.5202558416716362,-0.3837543093962104,0.0827789306640625,True,True,False
link_limited,centered_full_action_dqn - mpc_h4,20,-13.93408125051005,-14.262326106201236,-13.60945957413138,12.039964903859259,1.9073486328125e-06,20,0,-14.02257087600043,-13.850517366258822,9.5367431640625e-06,True,True,True
link_limited,mpc_h4 - immediate_argmin,20,-156.292528242434,-159.10990258702856,-153.35847140106347,57.45532633414597,1.9073486328125e-06,20,0,-157.08442285747327,-155.75266773859775,9.5367431640625e-06,True,True,True
nominal,centered_full_action_dqn - standard_dqn,20,-0.6683923094738269,-0.9934449739862685,-0.3944351397580929,0.8533086141952455,0.0025768280029296875,17,3,-0.7138736944547602,-0.5456511120047226,0.012884140014648438,True,True,True
nominal,centered_full_action_dqn - mpc_h4,20,-13.166683936600915,-13.653006413492971,-12.654969659645953,14.496317421364154,1.9073486328125e-06,20,0,-13.284104309200382,-13.053114723074142,9.5367431640625e-06,True,True,True
nominal,mpc_h4 - immediate_argmin,20,-102.59554518155426,-105.45855950742525,-99.60705581009468,53.04197037237108,1.9073486328125e-06,20,0,-103.24128761479443,-102.0844163382745,9.5367431640625e-06,True,True,True
reduced_coupling,centered_full_action_dqn - standard_dqn,20,-0.19644608666747843,-0.36773062667637174,-0.033241496921609756,0.7063640025751611,0.04138946533203125,15,5,-0.2262189164796947,-0.1442788627900579,,False,True,False
reduced_coupling,centered_full_action_dqn - mpc_h4,20,1.9111577595048792,1.7383633501989706,2.088889539504559,-7.435461964909071,1.9073486328125e-06,0,20,1.8740782757352472,1.943149293270053,,False,False,False
reduced_coupling,mpc_h4 - immediate_argmin,20,-0.9505733929994008,-1.128918918598139,-0.7633646360507629,3.566363581204355,1.9073486328125e-06,20,0,-0.9952562815892932,-0.9102037978527866,,False,True,False
static,centered_full_action_dqn - standard_dqn,20,-0.18223181856796167,-0.48059052502363964,0.10334666162170437,0.6787993245496818,0.01181793212890625,16,4,-0.2493983068160323,-0.09751056391549745,,False,True,False
static,centered_full_action_dqn - mpc_h4,20,2.1118546031415453,1.8838234846228727,2.340637756518088,-8.601518841247376,1.9073486328125e-06,0,20,2.0636162043990267,2.159970221139097,,False,False,False
static,mpc_h4 - immediate_argmin,20,0.0,0.0,0.0,-0.0,1.0,0,0,0.0,0.0,,False,False,False
thermal_stress,centered_full_action_dqn - standard_dqn,20,-0.447557866258547,-0.7487046351352218,-0.22156115554571287,0.4587921367459362,0.04138946533203125,15,5,-0.4820095783648526,-0.32806335673716613,0.0827789306640625,True,True,False
thermal_stress,centered_full_action_dqn - mpc_h4,20,-12.093873981261186,-12.528591604585644,-11.655950424981356,11.07521413545624,1.9073486328125e-06,20,0,-12.194769575718418,-11.98080319662866,9.5367431640625e-06,True,True,True
thermal_stress,mpc_h4 - immediate_argmin,20,-138.3858597805231,-140.42590189051677,-136.32531040551618,55.89461827223149,1.9073486328125e-06,20,0,-138.78993647739034,-137.99804473456396,9.5367431640625e-06,True,True,True
