profile,policy,total_cost_mean,immediate_cost_mean,penalty_mean,energy_use_mean,latency_ms_mean,transmitted_mbit_mean,thermal_violation_mean,energy_violation_mean,queue_violation_mean,contact_violation_mean,planning_time_ms_mean,maximum_heat_mean,minimum_energy_mean,threshold_free_episode_mean,onboard_fraction_mean,ground_fraction_mean,hybrid_fraction_mean,total_cost_sd,immediate_cost_sd,penalty_sd,energy_use_sd,latency_ms_sd,transmitted_mbit_sd,thermal_violation_sd,energy_violation_sd,queue_violation_sd,contact_violation_sd,planning_time_ms_sd,maximum_heat_sd,minimum_energy_sd,threshold_free_episode_sd,onboard_fraction_sd,ground_fraction_sd,hybrid_fraction_sd,n_model_seeds
compute_minus20,immediate_argmin,112.41061215832838,25.180553957987577,87.23005820870408,1.6029120335471816,16762.134173111914,1580.5217754316332,0.0,26.5825,13.175,2.0925000000000002,0.0,0.19031761318445206,0.0,0.0,0.0,0.6280859375000001,0.37191406250000003,10.877990763559259,0.2964064088196521,10.623557611700782,0.02282445514933733,354.1935390963794,42.50111586841391,0.0,0.7882817756961888,2.5495871698849806,0.29031516449686556,0.0,0.0002632912822305138,0.0,0.0,0.0,0.020927056691963417,0.020927056691963434,20
compute_minus20,centered_full_action_dqn,61.46658298877627,25.491329122986645,35.97525385848805,1.3733953961194492,14138.027886896132,728.7445404750854,0.0,19.067500000000003,0.0,0.9650000000000001,0.0,0.19186981804668904,0.00021261630114167927,0.0,0.0012890624999999998,0.20863281250000001,0.790078125,1.7685489501932796,0.3700569102496334,1.4682584132307759,0.008522229717701616,179.92007680471676,89.55116006697611,0.0,0.5316991135674574,0.0,0.2524094418118892,0.0,0.0004913855240256239,0.0006648659782557103,0.0,0.003374830572623531,0.061843527577822674,0.06288946294693006,20
compute_minus20,mpc_h4,74.28988184777847,24.839383400846273,49.45049843388437,1.4791672108741476,15110.475724716187,1222.9754645305127,0.0,24.19,0.030000000000000006,0.8550000000000001,309.9856477053254,0.1903785303607583,0.0,0.0,0.0032421875000000003,0.4416015625,0.55515625,2.18260839873522,0.3134560676228943,1.9166234609298618,0.014753767324905121,245.99647442659477,32.571151182876235,0.0,0.725403698857257,0.06569466853317862,0.2057719739497046,4.763569968701238,0.00029050320095451925,0.0,0.0,0.0014175124660061704,0.015671958630463747,0.015773146369116683,20
compute_minus20,standard_dqn,61.955772314962,25.593128369208426,36.3626439422518,1.3764618142391556,14162.42589869976,717.6691152361221,0.0,19.1525,0.0,1.0074999999999998,0.0,0.1919308903440833,0.000107140033505857,0.0,0.004140625,0.1967578125,0.7991015625,1.792811433648818,0.48156081396338923,1.4334320384857246,0.00827445888939556,170.61951918711685,125.04009504241007,0.0,0.5089915209716687,0.0,0.25145628478503923,0.0,0.0005065792660337691,0.0004036945424745965,0.0,0.008490710021027935,0.08365973439490168,0.08230365758151477,20
compute_plus20,immediate_argmin,235.30212824117024,27.54664458144456,207.75548365946491,1.8639223407837562,21281.963563370704,2045.604341450259,0.0,32.839999999999996,38.58,2.6525,0.0,0.1901642594113946,0.0,0.0,3.90625e-05,0.8726953125,0.127265625,7.3633433926319265,0.22734514892441443,7.289280467319794,0.01995454855554167,287.1914243269151,21.278616364779833,0.0,0.7085195833567343,1.4818551672960851,0.2721623934731847,0.0,0.00017804125445672128,0.0,0.0,0.0001746928107421711,0.008234783833354228,0.008193427068187679,20
compute_plus20,centered_full_action_dqn,89.5832043350711,30.216093390882016,59.367110961828345,1.5716481184889564,17591.02702407837,1088.3638152875378,0.0,26.6675,0.0075,1.6475000000000002,0.0,0.19130162235349418,0.0,0.0,0.0013281249999999999,0.3825,0.616171875,1.9516452263232775,0.6695663078101598,1.5133496222470415,0.011086406309839165,227.58211392477043,98.33009488353876,0.0,0.5687648205125129,0.03354101966249685,0.27979080531147216,0.0,0.0007985801491633566,0.0,0.0,0.0033058289951833166,0.05450415695155737,0.055652378592562106,20
compute_plus20,mpc_h4,100.9250318585687,30.40189430532977,70.52313755186057,1.65084755707765,18538.489689350128,1392.5253431741894,0.0,30.5375,6.82,1.185,311.5671444821055,0.1902514773234725,0.0,0.0,0.00453125,0.5376562500000001,0.4578125,1.9136730786935447,0.42859581565307103,1.5838464017919212,0.0122823593574707,211.03152014968217,19.535012890319557,0.0,0.5755717980728747,0.6124583766737905,0.25603248149199237,5.531985807766463,0.00020536019205098845,0.0,0.0,0.00133162754097936,0.012255000322102704,0.011969628162781956,20
compute_plus20,standard_dqn,90.47263369673162,30.579442781843245,59.893190924481,1.575580402039923,17682.94655427456,1038.802882697601,0.0,26.8225,0.06999999999999999,1.5425,0.0,0.19143468257039786,0.0,0.0,0.0034765625,0.35421874999999997,0.6423046875,2.0786738869373633,0.9839873417852529,1.4108507646688742,0.010342216429644351,252.29613178839062,147.80960631469833,0.0,0.5773065864311979,0.21968877507678183,0.3438462783830803,0.0,0.0006609495447620981,0.0,0.0,0.00717136973624387,0.08142866868543029,0.08100619536682603,20
data_minus20,immediate_argmin,153.66515982730425,21.941091626510023,131.72406820122265,1.563738041468896,16820.622732200623,1659.9593354436754,0.0,25.75,28.3875,1.9125,0.0,0.18993682105094195,0.0,0.0,0.0,0.8868359375000001,0.1131640625,7.092501671672632,0.17508340897666685,7.024088843650939,0.014497088641963878,207.060026498319,14.152915378841515,0.0,0.6417492541975869,1.3978249080926446,0.30213059218960614,0.0,0.00012362011508780795,0.0,0.0,0.0,0.007562934109713076,0.007562934109713099,20
data_minus20,centered_full_action_dqn,61.18101451123133,24.079775633066895,37.1012388696149,1.3804036611085757,14323.93077395916,945.1832876019738,0.0,19.4875,0.0,1.3425,0.0,0.19075044512748718,0.0002813552785664797,0.0,0.0008203125000000001,0.4303515625,0.568828125,2.1499199745771698,0.6199949460643339,1.6676263517357806,0.010163103649126544,177.90235926849584,104.55261384555187,0.0,0.6164147185646673,0.0,0.256122400837034,0.0,0.000661970675815945,0.0008936518489807434,0.0,0.002287917774440044,0.07177986185947258,0.07251037634173742,20
data_minus20,mpc_h4,72.27995429697108,23.142402222491803,49.13755205542442,1.4543701817677355,15253.47808821678,1339.9980140454136,0.0,23.9675,2.4175,1.0375,311.1418272682931,0.1899701100960374,8.84663313627243e-05,0.0,0.0036718750000000002,0.6848046875,0.3115234375,1.5837432324391214,0.26626974754046373,1.4141020047779451,0.009120800303612817,139.45996335358086,15.625046206668527,0.0,0.6222359934775133,0.46939911196740614,0.23944837922982365,5.236848261200628,0.0001371110612527373,0.00039563346129414627,0.0,0.0011915831808873788,0.010019239689702177,0.010100349067989215,20
data_minus20,standard_dqn,62.21148369963392,24.384614607458936,37.82686909072212,1.3853215829492547,14406.149285216332,908.242924897913,0.0,19.725,0.0075,1.345,0.0,0.19088167048990728,0.00017595013137906788,0.0,0.0029296875,0.403828125,0.5932421875,2.4160664203933306,0.8941802691008592,1.7016130994266363,0.009475054254505554,186.35075740478462,141.59347128587487,0.0,0.6350507646513077,0.03354101966249685,0.2670008870476099,0.0,0.0005402481859488752,0.0005568274174477981,0.0,0.00642675133404926,0.09572511663277591,0.09466327197579669,20
data_plus20,immediate_argmin,201.75142120950926,31.086485810540616,170.66493540960434,1.9052393783908337,21433.17050424099,2014.4475673302263,0.0,33.3575,30.3825,2.83,0.0,0.19058346334844828,0.0,0.0,0.00015625,0.6853125,0.31453125000000004,11.358759851820956,0.3266664760816405,11.14161928626788,0.02764953237295911,416.4601516907883,44.08140219093446,0.0,0.6655577399919238,2.37493905738985,0.3812721089361659,0.0,0.0003452791357311058,0.0,0.0,0.00040870965920359134,0.017954621161490172,0.018162393369122273,20
data_plus20,centered_full_action_dqn,88.34781427723915,31.286552980784325,57.061261332329366,1.5515409437404013,17367.13323597908,875.9629221300036,0.0,25.98,0.0,1.1575,0.0,0.19272043623030186,0.0,0.0,0.0016796875,0.2079296875,0.790390625,1.6635369721019182,0.4291484678797885,1.3785511266712467,0.010372326973164842,214.7462267443357,93.83493688006348,0.0,0.5660109725549776,0.0,0.262214757302804,0.0,0.0006399991033958669,0.0,0.0,0.003961573689566036,0.05330023524911518,0.05477970375666307,20
data_plus20,mpc_h4,100.93432947955903,31.094379122816026,69.8399503733578,1.680757833335083,18567.76753448486,1448.8865878373012,0.0,30.692500000000003,0.6799999999999999,1.0550000000000002,311.145903749275,0.19069512251764537,0.0,0.0,0.0048828125,0.4401171875,0.5549999999999999,2.1006462289234156,0.42545543380298967,1.7779147582504882,0.012648195099029341,220.20430460027288,21.85127629575159,0.0,0.6489414457406764,0.2899183188053962,0.28741131355236305,5.116406498522145,0.00038847623110625914,0.0,0.0,0.0019613314437066385,0.010008974565580675,0.009509047155001994,20
data_plus20,standard_dqn,88.78766869829968,31.46166047781706,57.32600822923705,1.5546052045281977,17418.480873250963,857.5822060517594,0.0,26.027499999999996,0.0,1.15,0.0,0.1927980624884367,0.0,0.0,0.0054296875,0.195859375,0.7987109375,1.6790366408930808,0.5659279688293786,1.292592820664975,0.010013641093671812,208.1530187872702,131.9626075546868,0.0,0.5413129749434282,0.0,0.2986813122975548,0.0,0.0006007610775255685,0.0,0.0,0.009650139519333316,0.07350618813180128,0.0731044181244988,20
energy_plus20,immediate_argmin,212.7263269231143,26.792721716724337,185.93360521212693,2.1292912813764997,19616.6046186018,1896.8102139461785,0.0,37.36,31.555,2.4875,0.0,0.19026075288653374,0.0,0.0,3.90625e-05,0.7965234375,0.2034375,7.7980483847463296,0.24844818332101132,7.625506639110057,0.02832580935989396,341.2062255919944,31.184565253908286,0.0,0.6231498932629965,1.7264886787623983,0.319487665522556,0.0,0.00022671709330227666,0.0,0.0,0.0001746928107421711,0.011399080186194122,0.011427015614554083,20
energy_plus20,centered_full_action_dqn,104.23430488040859,28.222888973504304,76.01141589339078,1.7784925628989003,16090.782513990402,896.1549453673512,0.0,32.089999999999996,0.0,1.285,0.0,0.19171729266643525,0.0,0.0,0.003125,0.29281250000000003,0.7040625,1.7024070439165873,0.5661775443132105,1.3491979080955048,0.012636695970837546,201.39063018592466,125.48232691400898,0.0,0.4281539319843796,0.0,0.32367137330128043,0.0,0.0007341471118299163,0.0,0.0,0.006219084723866655,0.07347537167377029,0.07628827770889492,20
energy_plus20,mpc_h4,113.26393493107582,27.522554514911025,85.7413804127003,1.9090450266166592,17163.880315151215,1423.0226451129095,0.0,35.7825,1.3625,1.105,310.87414198351325,0.19030441608279944,0.0,0.0,0.0049609375,0.5532421875,0.441796875,1.619393278063705,0.3687278041626513,1.3606099897315156,0.01304983363914536,185.60504518673545,19.916750221491125,0.0,0.5016485979143898,0.3047324106577164,0.22763081837414764,5.0582714858143,0.0002601904678547656,0.0,0.0,0.0015266234819878081,0.009921939753207702,0.010165734437864494,20
energy_plus20,standard_dqn,104.82989028648474,28.505406724773348,76.32448354780675,1.7836247884645124,16169.755246944429,866.7228067186473,0.0,32.1825,0.0,1.225,0.0,0.19190480407327412,0.0,0.0,0.00859375,0.27328125000000003,0.718125,1.8997672140013144,0.8019185470695466,1.3616066472751334,0.011597586493524166,197.12998249619892,165.83116882769568,0.0,0.42989441788224764,0.0,0.3326528141123146,0.0,0.0007109981785138307,0.0,0.0,0.014053359602544193,0.09881324486220139,0.09739474856324325,20
heat_plus20,immediate_argmin,193.57576023307962,26.796680008862165,166.7790802311651,1.7746219398849643,19620.50129438877,1897.401131682843,0.0,30.7725,31.575,2.4875,0.0,0.19047290362417696,0.0,0.0,7.8125e-05,0.7969140625,0.20300781250000002,8.403487475846742,0.24884878294772794,8.232526520344162,0.023743124934627973,343.5422780916425,31.28516589457887,0.0,0.6126892833196428,1.7253908786737344,0.319487665522556,0.0,0.0002720602404598312,0.0,0.0,0.000240463676269958,0.011458107491295076,0.01146035013899611,20
heat_plus20,centered_full_action_dqn,77.68810191855394,28.163114672778175,49.52498724726588,1.4804941542842425,16068.624454860686,910.975352254212,0.0,23.4975,0.0,1.295,0.0,0.19222075145691633,0.0,0.0,0.00125,0.30343749999999997,0.6953125,1.8436290012601924,0.5312137131939498,1.4663074139637964,0.010081341886961276,201.5251991247523,110.77399482156045,0.0,0.537899178578839,0.0,0.3094562293681238,0.0,0.0008809765401934197,0.0,0.0,0.0029711295864934674,0.0647256871456786,0.06578975637274792,20
heat_plus20,mpc_h4,90.8908310435942,27.626883728913963,63.26394733300866,1.5886579788080417,17162.455478744505,1422.8690610682966,0.0,28.547500000000003,1.5150000000000001,1.0825,309.8670209851116,0.19052529942244292,0.0,0.0,0.0047265625,0.5549999999999999,0.4402734375,1.6959216520792755,0.3512801909018453,1.4241119332383954,0.009131159690997264,166.68192313836616,18.33468502000832,0.0,0.5131109965074249,0.36602415796027216,0.22842423597102685,4.903357853487202,0.00031222819020404176,0.0,0.0,0.0016712754089612768,0.00973275718899842,0.00944489773560412,20
heat_plus20,standard_dqn,78.36004077202455,28.402778206160292,49.95726256157086,1.4840112436539494,16124.092798790933,878.885888792444,0.0,23.630000000000003,0.0,1.2650000000000001,0.0,0.1924457649886608,0.0,0.0,0.0044531250000000005,0.28207031250000003,0.7134765625,1.893698749101926,0.7126047601775257,1.3801566982342912,0.008798914952608703,171.29801348145833,147.21285644930074,0.0,0.5580511200880968,0.0,0.2929433212648553,0.0,0.000853198136991641,0.0,0.0,0.008345702511543544,0.08761647667822393,0.08650079852258721,20
link_minus20,immediate_argmin,254.24342533806416,29.08455856112763,225.1588667768248,2.063621387400199,23600.17086484909,1827.2727495279164,0.0,35.792500000000004,39.472500000000004,2.4175,0.0,0.1903394979983568,0.0,0.0,0.0003515625,0.7665625,0.2330859375,9.327664931592135,0.2906394657177335,9.139773901558748,0.029746872773760747,431.0408853987522,31.712337837292775,0.0,0.6580023596182294,1.7099919205718648,0.29792042385067924,0.0,0.00026123656182051175,0.0,0.0,0.0003987638949484691,0.013712287546931655,0.013685730760894865,20
link_minus20,centered_full_action_dqn,88.53852758368105,29.81493917670101,58.72358839865401,1.570231269521173,17525.898929700852,699.3183484337106,0.0,26.52,0.0,0.945,0.0,0.1924730122461915,0.0,0.0,0.0034765625,0.1728515625,0.8236718749999999,1.7059624495481203,0.5395460953783804,1.359247394548236,0.011354497121207466,220.58426755763523,83.74648198168445,0.0,0.5502152688768858,0.0,0.22763081837414767,0.0,0.0006276738913203675,0.0,0.0,0.006864689300322856,0.05303172139382804,0.05578382991969867,20
link_minus20,mpc_h4,104.94394867232047,30.0565804242529,74.88736824670784,1.710855454332195,19072.138001127245,1185.3975294764712,0.0,32.4675,1.975,0.9375,310.3727039901423,0.19041502825915813,0.0,0.0,0.0040625,0.43335937500000005,0.562578125,1.8432189457878725,0.37629558881260217,1.5639002239998006,0.009755254101974599,180.99463439628315,13.86566519186534,0.0,0.5631852551149995,0.5300198606010712,0.22235284903433156,4.685087155490706,0.0003240549439457413,0.0,0.0,0.0016348386368143656,0.007667653966629777,0.007914222628854951,20
link_minus20,standard_dqn,89.17681127464958,30.07543955905363,59.10137171860411,1.5744390786020086,17613.115257463454,685.465435990598,0.0,26.652499999999996,0.0,0.9349999999999999,0.0,0.1926090408489108,0.0,0.0,0.0087890625,0.16234375,0.8288671875,1.6988836481050844,0.7467370093113126,1.305178826416451,0.011600405332331278,211.1966420400732,120.0959039665135,0.0,0.5547581265266581,0.0,0.228898966450496,0.0,0.0007186647385070172,0.0,0.0,0.013963639618448855,0.07640735152849289,0.07515509380265598,20
reference,immediate_argmin,193.42332960352286,26.79269259463996,166.63063701271994,1.7744078450347296,19616.587143034936,1896.7996242107452,0.0,30.77,31.555,2.4875,0.0,0.19026075288653374,0.0,0.0,7.8125e-05,0.7965234375,0.20339843750000003,8.33019134441854,0.24846223639491052,8.160359602736527,0.023605978941105832,341.22135728836156,31.1781866592309,0.0,0.6090112780910587,1.7264886787623983,0.319487665522556,0.0,0.00022671709330227666,0.0,0.0,0.000240463676269958,0.011399080186194122,0.011398516551933576,20
