profile,comparison,model_seed,difference
data_minus20,centered_full_action_dqn - standard_dqn,807,0.14555225245653958
data_minus20,centered_full_action_dqn - standard_dqn,808,-1.1169477477669716
data_minus20,centered_full_action_dqn - standard_dqn,809,-0.038828499987722864
data_minus20,centered_full_action_dqn - standard_dqn,810,-1.2118832485377808
data_minus20,centered_full_action_dqn - standard_dqn,811,-1.8592697782814582
data_minus20,centered_full_action_dqn - standard_dqn,812,0.1443370424956143
data_minus20,centered_full_action_dqn - standard_dqn,813,-0.5376207585632855
data_minus20,centered_full_action_dqn - standard_dqn,814,-0.35573645830154277
data_minus20,centered_full_action_dqn - standard_dqn,815,-4.728157857656484
data_minus20,centered_full_action_dqn - standard_dqn,816,-1.5078895730747277
data_minus20,centered_full_action_dqn - standard_dqn,817,-1.5005268719047322
data_minus20,centered_full_action_dqn - standard_dqn,818,-1.3517398372292533
data_minus20,centered_full_action_dqn - standard_dqn,819,-1.2543194519355936
data_minus20,centered_full_action_dqn - mpc_h4,800,-12.53746460340831
data_minus20,centered_full_action_dqn - mpc_h4,801,-10.250077317828982
data_minus20,centered_full_action_dqn - mpc_h4,802,-11.908504101081398
data_minus20,centered_full_action_dqn - mpc_h4,803,-12.113375706691173
data_minus20,centered_full_action_dqn - mpc_h4,804,-11.200257032912972
data_minus20,centered_full_action_dqn - mpc_h4,805,-11.36459027300139
data_minus20,centered_full_action_dqn - mpc_h4,806,-9.905914312668884
data_minus20,centered_full_action_dqn - mpc_h4,807,-6.709165453040413
data_minus20,centered_full_action_dqn - mpc_h4,808,-10.46874753620331
data_minus20,centered_full_action_dqn - mpc_h4,809,-11.855033684214163
data_minus20,centered_full_action_dqn - mpc_h4,810,-13.990026291085947
data_minus20,centered_full_action_dqn - mpc_h4,811,-10.893251089086831
data_minus20,centered_full_action_dqn - mpc_h4,812,-11.634382709021686
data_minus20,centered_full_action_dqn - mpc_h4,813,-11.824271888947862
data_minus20,centered_full_action_dqn - mpc_h4,814,-9.31854246914466
data_minus20,centered_full_action_dqn - mpc_h4,815,-10.855972843305366
data_minus20,centered_full_action_dqn - mpc_h4,816,-12.718497935852454
data_minus20,centered_full_action_dqn - mpc_h4,817,-12.954833926705312
data_minus20,centered_full_action_dqn - mpc_h4,818,-11.411939405711202
data_minus20,centered_full_action_dqn - mpc_h4,819,-8.063947134882774
data_plus20,centered_full_action_dqn - standard_dqn,800,0.177075209841135
data_plus20,centered_full_action_dqn - standard_dqn,801,-0.22444632351398752
data_plus20,centered_full_action_dqn - standard_dqn,802,-0.39104897081851675
data_plus20,centered_full_action_dqn - standard_dqn,803,-0.3021192680299407
data_plus20,centered_full_action_dqn - standard_dqn,804,-0.631445927470935
data_plus20,centered_full_action_dqn - standard_dqn,805,-0.543024760410205
data_plus20,centered_full_action_dqn - standard_dqn,806,-0.12004652790726311
data_plus20,centered_full_action_dqn - standard_dqn,807,0.19593286104500862
data_plus20,centered_full_action_dqn - standard_dqn,808,-1.2462681496143233
data_plus20,centered_full_action_dqn - standard_dqn,809,-0.08757046684623049
data_plus20,centered_full_action_dqn - standard_dqn,810,-0.655087544173
data_plus20,centered_full_action_dqn - standard_dqn,811,-0.4697832546383296
data_plus20,centered_full_action_dqn - standard_dqn,812,-0.07304299108685086
data_plus20,centered_full_action_dqn - standard_dqn,813,0.06451536305249306
data_plus20,centered_full_action_dqn - standard_dqn,814,-0.7346871885657293
data_plus20,centered_full_action_dqn - standard_dqn,815,-2.1239525745064043
data_plus20,centered_full_action_dqn - standard_dqn,816,-1.0077651858329801
data_plus20,centered_full_action_dqn - standard_dqn,817,-0.15564585648476736
data_plus20,centered_full_action_dqn - standard_dqn,818,-0.15032304726541668
data_plus20,centered_full_action_dqn - standard_dqn,819,-0.31835381798447315
data_plus20,centered_full_action_dqn - mpc_h4,800,-12.146569192636292
data_plus20,centered_full_action_dqn - mpc_h4,801,-12.495156450322014
data_plus20,centered_full_action_dqn - mpc_h4,802,-14.146793912220929
data_plus20,centered_full_action_dqn - mpc_h4,803,-13.240290796669726
data_plus20,centered_full_action_dqn - mpc_h4,804,-13.517261489154436
data_plus20,centered_full_action_dqn - mpc_h4,805,-12.943314204229125
data_plus20,centered_full_action_dqn - mpc_h4,806,-11.043236889615144
data_plus20,centered_full_action_dqn - mpc_h4,807,-12.038536029431683
data_plus20,centered_full_action_dqn - mpc_h4,808,-12.957882230801971
data_plus20,centered_full_action_dqn - mpc_h4,809,-13.179277672357841
data_plus20,centered_full_action_dqn - mpc_h4,810,-12.371088084105594
data_plus20,centered_full_action_dqn - mpc_h4,811,-13.22621462774083
data_plus20,centered_full_action_dqn - mpc_h4,812,-13.055329595649681
data_plus20,centered_full_action_dqn - mpc_h4,813,-13.46935662353674
data_plus20,centered_full_action_dqn - mpc_h4,814,-10.162075277661913
data_plus20,centered_full_action_dqn - mpc_h4,815,-13.843937258656226
data_plus20,centered_full_action_dqn - mpc_h4,816,-11.42283032707607
