planner_horizon,trace_seed,total_cost,planning_ms_per_decision
1,3300000,108.42291456426024,0.12836093446821906
2,3300000,97.06941995551671,0.49122030759463087
4,3300000,91.16891210194566,4.729053120172466
6,3300000,91.04932802915573,42.05505156642175
1,3300001,87.89209084765953,0.12604062430909835
2,3300001,81.89813547134399,0.4910343759547686
4,3300001,79.5761423587799,4.709543742137612
6,3300001,79.5761423587799,41.81739061823464
1,3300002,85.0105217523386,0.12838125076086726
2,3300002,81.34520760327578,0.4898921888525365
4,3300002,80.86474648267031,4.7531031177641125
6,3300002,78.43972213715315,41.64095157284464
1,3300003,119.39849656092939,0.12904531104140915
2,3300003,105.17943014482346,0.5029890617151977
4,3300003,102.56644274157536,4.770553123307764
6,3300003,102.41844166939292,42.63577655547124
1,3300004,102.15925734511472,0.1317343758273637
2,3300004,100.65876759877543,0.5005921902920818
4,3300004,98.58888146281242,4.846846873988397
6,3300004,98.55447942182128,42.737470314023085
1,3300005,98.8134324059451,0.14228593863663264
2,3300005,85.55159568190575,0.48921875531959813
4,3300005,84.56115978360177,4.76035469728231
6,3300005,82.69794336855412,42.58395937176829
1,3300006,92.66497932019699,0.1274250043934444
2,3300006,83.65334675958721,0.5012593828723766
4,3300006,82.29986935257912,4.698887505583116
6,3300006,82.24788122773171,42.266334376108716
1,3300007,88.8730973004617,0.12842968862969428
2,3300007,86.88574329916271,0.494807813083753
4,3300007,84.44440135438782,4.742771878227359
6,3300007,83.73770982176066,42.4934968668822
1,3300008,131.7955019221418,0.1262062487512594
2,3300008,114.01878010706044,0.48554843306192197
4,3300008,119.02793174224085,4.763760938658379
6,3300008,114.52196311455522,42.79292967839865
1,3300009,94.85290970598948,0.12575781693158206
2,3300009,88.49942980079314,0.49962968842010014
4,3300009,88.66965602338314,4.77149063408433
6,3300009,82.94485528767109,42.04409843441681
1,3300010,93.65556621315054,0.12272812455194071
2,3300010,92.38712478413052,0.4930468767270213
4,3300010,91.66677295315264,4.8644968737789895
6,3300010,88.9979439407587,42.42044063175854
1,3300011,96.33620628973995,0.1339078098681057
2,3300011,88.89980548024178,0.5184578185435385
4,3300011,83.63990415036679,4.77778125241457
6,3300011,80.83487387895585,42.64833280649327
1,3300012,110.52246831907809,0.12860156493843533
2,3300012,101.14008058357436,0.5180468688195106
4,3300012,99.25055491680499,4.790835948369931
6,3300012,97.61916026195541,42.31307812551677
1,3300013,91.52410232456259,0.12390469055389985
2,3300013,80.62737814635038,0.4883874989900505
4,3300013,79.45459709614515,4.767287493450567
6,3300013,78.21616193950176,42.138112510656356
1,3300014,93.70147485827886,0.12812187196686864
2,3300014,89.58025600547637,0.5052687447459903
4,3300014,82.98921789228916,4.7898234388412675
6,3300014,81.16237001121044,42.06184530812607
1,3300015,95.56214986663753,0.12996406258025672
2,3300015,93.52661489936523,0.49940155804506503
4,3300015,91.0651985257864,4.909195315121906
6,3300015,91.0651985257864,43.13750624714885
1,3300016,95.31876814203812,0.13094531277602073
2,3300016,82.60013462958945,0.483853129480849
4,3300016,81.5491748675704,4.699759385403013
6,3300016,81.5491748675704,42.07047343879822
1,3300017,99.19324313551682,0.12270624756638426
2,3300017,97.03676800690016,0.4831671885767719
4,3300017,95.67690809475306,4.744868747366127
6,3300017,94.72365616261959,41.81247343876748
1,3300018,106.58253360578088,0.13045312698523048
2,3300018,100.3080622815697,0.481864057292114
4,3300018,98.14900805467751,4.761189067721716
6,3300018,97.27685639066874,42.06492499906744
1,3300019,101.06762100558984,0.13328905697562732
2,3300019,93.10543634300558,0.49409375060349703
4,3300019,91.4617925286293,4.751064072479494
6,3300019,91.01558817923069,41.88345938200655
1,3301000,126.43120551455077,0.12774063179676887
2,3301000,110.96528856939138,0.48322344082407653
4,3301000,109.81897690026824,4.69724844697339
6,3301000,102.30487125092017,42.02827656263253
1,3301001,99.35012267011516,0.13132812273397576
2,3301001,93.26236877922113,0.482599994938937
4,3301001,89.2624985665083,4.721482830063906
6,3301001,88.61717164570953,41.91497344436357
1,3301002,106.21057076705833,0.12467499072954524
2,3301002,104.21068497592981,0.483831254314282
4,3301002,106.10145536555768,4.743345310998848
6,3301002,104.22272143661976,41.98529062705347
1,3301003,98.85055287971736,0.12969374256499577
2,3301003,92.13451234624779,0.5159484444448026
4,3301003,88.14487977860237,4.773128126544179
6,3301003,86.73663859963418,42.196568749204744
1,3301004,89.00613001470302,0.13048594337305985
2,3301004,82.37936094616221,0.5022875011491124
4,3301004,80.75826501417238,4.730834385554772
6,3301004,78.98227628636438,41.82777655842074
1,3301005,110.25983980868997,0.12509687257988844
2,3301005,108.74302284733187,0.48999687533068936
4,3301005,103.00915348515339,4.77835937817872
6,3301005,97.03611309230328,42.22054220372229
1,3301006,86.94398671037241,0.12158906974946149
2,3301006,84.37571886464647,0.4774718763655983
4,3301006,83.4119451966213,4.6521921849489445
6,3301006,83.32980475091207,42.58990937341878
1,3301007,121.4781290080007,0.12831249659939203
2,3301007,108.71095381063346,0.4979453169653425
4,3301007,106.52968386417986,4.793753121703048
6,3301007,106.534220492903,42.63020937287365
1,3301008,88.09420963841285,0.1280109408980934
2,3301008,86.04173924686447,0.489500005642185
4,3301008,83.37045807540417,4.796085935595329
6,3301008,80.92484141290188,42.19804999411281
1,3301009,110.44521861591771,0.12514219270087779
2,3301009,106.62512262838328,0.4960515670973109
4,3301009,105.50348609272297,4.74303750161198
6,3301009,104.51862977720755,42.55144843409653
1,3301010,113.9655042880963,0.1251531302841613
2,3301010,109.4654491157876,0.48512812281842344
4,3301010,106.12050029751373,4.823068753466941
6,3301010,100.65786394605928,42.425484369232436
1,3301011,66.56104923337698,0.12359062566247303
2,3301011,61.867126980423926,0.49185000170837156
4,3301011,61.97487414777279,4.8167578079301165
6,3301011,61.97487414777279,42.11187501095992
1,3301012,104.98534443659,0.1258312495338032
2,3301012,97.77109359094399,0.503118748383713
4,3301012,95.02231948214552,4.800992177479202
6,3301012,91.6383401453495,42.11181249957008
1,3301013,100.64634830371807,0.1191953124362044
2,3301013,95.68780689756382,0.4910687439405592
4,3301013,93.70561864875508,4.833132807107177
6,3301013,89.91448682844639,42.43555311768432
1,3301014,102.27287468676911,0.13058750664640684
2,3301014,96.30920308399935,0.5016703180444892
4,3301014,94.42955655953872,4.809148433196242
6,3301014,94.21990594267845,42.70467812784773
1,3301015,94.8668592995237,0.12435156531864777
2,3301015,84.4308817178011,0.5007593772461405
4,3301015,78.31151450574399,4.790153121575713
6,3301015,78.31151450574399,41.93479530295008
1,3301016,95.04635564278664,0.13252969074528664
2,3301016,79.12855109357129,0.4960421883879462
4,3301016,77.24674246609212,4.764032817547559
6,3301016,74.25408831983805,42.099860938833444
1,3301017,97.1574499968516,0.12524374687927775
2,3301017,85.99563431739807,0.476268751299358
4,3301017,85.99563431739807,4.806424993148539
6,3301017,82.29998752474785,42.27007344343292
