scenario,n_treatment,n_reference,mean_difference,ci95_low,ci95_high,excludes_zero
nominal,20,20,-0.6683923094738162,-1.7944749078965316,0.4550232050357375,False
burst,20,20,-0.4758064811900482,-1.65571363653867,0.7270826744162819,False
link_limited,20,20,-0.46311788116766195,-1.5583083328554237,0.5954656506582239,False
energy_limited,20,20,-0.6784194719288337,-1.8013023983536691,0.47880514896281334,False
thermal_stress,20,20,-0.4475578662585349,-1.6197582972177187,0.7685540357415156,False
