profile,policy,model_seed,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction
compute_minus20,immediate_argmin,800,105.21567396269737,24.91431768015027,80.30135629372293,1.5698435992002486,16324.937250900268,1512.9349266320467,0.0,26.7,10.5,2.05,0.0,0.19048616364598275,0.0,0.0,0.0,0.61015625,0.38984375
compute_minus20,immediate_argmin,801,124.98162873319663,25.426633790135384,99.55499494268872,1.6367351243272423,17259.551088237764,1620.1667182177305,0.0,27.65,16.4,2.6,0.0,0.1900777131319046,0.0,0.0,0.0,0.65234375,0.34765625
compute_minus20,immediate_argmin,802,114.29056806909719,25.413171231374143,88.8773967229841,1.6047916220966727,16814.492530059815,1576.5491922110318,0.0,26.5,12.55,1.95,0.0,0.1901967704296112,0.0,0.0,0.0,0.61640625,0.38359375
compute_minus20,immediate_argmin,803,100.58597496104139,24.79820855874568,75.78776636988569,1.5735369171015918,16285.286956977845,1496.244557338953,0.0,25.65,10.2,1.6,0.0,0.19008540660142897,0.0,0.0,0.0,0.596875,0.403125
compute_minus20,immediate_argmin,804,110.63566939483431,24.85916554555297,85.77650388690677,1.5997303368058056,16693.702064323425,1562.6560787945987,0.0,26.8,13.05,2.3,0.0,0.19059867262840272,0.0,0.0,0.0,0.6296875,0.3703125
compute_minus20,immediate_argmin,805,119.61054986155219,25.541028545051812,94.0695212706793,1.639271060237661,17261.105764102937,1614.5566968768835,0.0,26.45,14.95,2.1,0.0,0.18995373025536538,0.0,0.0,0.0,0.63046875,0.36953125
compute_minus20,immediate_argmin,806,111.9750553775704,25.275089624524117,86.69996580072998,1.5977584327571095,16663.2652926445,1577.4499251395464,0.0,26.35,13.2,2.25,0.0,0.1907912403345108,0.0,0.0,0.0,0.6140625,0.3859375
compute_minus20,immediate_argmin,807,132.57397634857733,25.519828136637805,107.05414827973979,1.6370190769433974,17322.945948791505,1664.4738716959953,0.0,27.5,17.15,2.45,0.0,0.19018423557281494,0.0,0.0,0.0,0.6765625,0.3234375
compute_minus20,immediate_argmin,808,125.5121894533788,25.41246720403433,100.09972233502614,1.608904040651396,16944.950424671173,1609.2945804387332,0.0,27.4,15.5,1.95,0.0,0.19080774933099748,0.0,0.0,0.0,0.6484375,0.3515625
compute_minus20,immediate_argmin,809,123.59052197869224,25.51564086340368,98.07488117303055,1.6197043174412102,17041.98163690567,1613.670750796795,0.0,27.35,16.35,2.55,0.0,0.1901132047176361,0.0,0.0,0.0,0.646875,0.353125
compute_minus20,immediate_argmin,810,104.02245305716015,24.81808359324932,79.20436942405021,1.5754481113981456,16348.349574279786,1545.574461209774,0.0,26.4,13.0,1.85,0.0,0.1901576980948448,0.0,0.0,0.0,0.6203125,0.3796875
compute_minus20,immediate_argmin,811,119.23412011841656,25.418628437444568,93.81549165750265,1.6166469045914709,17002.07536058426,1580.161260944605,0.0,27.45,14.55,2.45,0.0,0.19029200747609137,0.0,0.0,0.0,0.628125,0.371875
compute_minus20,immediate_argmin,812,105.73302557758173,25.090305472910405,80.64272011882743,1.5974098635371774,16642.024738311768,1565.5477323800326,0.0,25.65,11.0,1.85,0.0,0.19041584208607673,0.0,0.0,0.0,0.609375,0.390625
compute_minus20,immediate_argmin,813,97.91054539110914,25.202836949378252,72.70770848010139,1.5929455967154353,16612.750021362306,1573.1186237841844,0.0,26.65,9.65,2.35,0.0,0.19039309471845628,0.0,0.0,0.0,0.61953125,0.38046875
compute_minus20,immediate_argmin,814,111.63157165096936,25.14653783142567,86.48503383444485,1.6035349435172974,16718.4292845726,1622.2315981507302,0.0,25.95,13.2,2.0,0.0,0.1902018167078495,0.0,0.0,0.0,0.6296875,0.3703125
compute_minus20,immediate_argmin,815,108.37487904285476,25.171174040064216,83.20370498304652,1.6005422708112746,16686.071099853514,1566.6074346721173,0.0,26.35,13.1,1.55,0.0,0.19075586274266243,0.0,0.0,0.0,0.61640625,0.38359375
compute_minus20,immediate_argmin,816,89.6322385159671,24.527658098191022,65.10458044534322,1.5656005699187516,16144.583615207672,1511.1436594188212,0.0,24.75,8.2,2.0,0.0,0.19015338867902756,0.0,0.0,0.0,0.59375,0.40625
compute_minus20,immediate_argmin,817,123.13282953452433,25.50729072559625,97.62553872548156,1.6340364383533597,17254.671080207823,1624.0244652986526,0.0,27.45,15.8,2.05,0.0,0.19004476740956305,0.0,0.0,0.0,0.65234375,0.34765625
compute_minus20,immediate_argmin,818,116.87222451003383,25.160217604599893,91.71200700527173,1.604506375035271,16813.513520526885,1600.740918931365,0.0,27.1,14.9,2.0,0.0,0.19012318775057793,0.0,0.0,0.0,0.65078125,0.34921875
compute_minus20,immediate_argmin,819,102.69654762731287,24.89279522728175,77.80375242461803,1.5802750695031136,16407.996209716795,1573.2880557000638,0.0,25.55,10.25,1.95,0.0,0.19051971137523652,0.0,0.0,0.0,0.61953125,0.38046875
compute_minus20,centered_full_action_dqn,800,60.55477763194591,25.13866459354758,35.41611302182078,1.362458415934816,13903.262211990357,728.1822025813162,0.0,19.1,0.0,1.0,0.0,0.19173916131258012,0.0,0.0,0.003125,0.215625,0.78125
compute_minus20,centered_full_action_dqn,801,62.591818611770876,25.914328953623773,36.677489649951454,1.3783661271911114,14190.672254180909,594.1064684450627,0.0,19.3,0.0,0.8,0.0,0.1926238626241684,0.0,0.0,0.0,0.11796875,0.88203125
compute_minus20,centered_full_action_dqn,802,62.096385652460164,25.512691321223976,36.58369434595108,1.3767566562164575,14272.02128429413,785.8303712278605,0.0,19.0,0.0,1.0,0.0,0.19136253669857978,0.0,0.0,0.0,0.25234375,0.74765625
compute_minus20,centered_full_action_dqn,803,59.142883466854684,24.98292983472347,34.15995367497206,1.3566395348403604,13841.268110656738,717.0934218555689,0.0,18.5,0.0,0.5,0.0,0.19240737110376357,0.00047800354659557345,0.0,0.0,0.21953125,0.78046875
compute_minus20,centered_full_action_dqn,804,60.573765465766186,25.470300533622503,35.103464978337286,1.3667816056869924,13935.348254299164,611.1486080124974,0.0,18.6,0.0,1.05,0.0,0.19211357980966567,0.0,0.0,0.0015625,0.13359375,0.86484375
compute_minus20,centered_full_action_dqn,805,61.95082944374532,25.734695565886796,36.216133779510855,1.3858056121505797,14392.365094852448,760.8790815085173,0.0,18.95,0.0,1.15,0.0,0.19122271239757538,0.0,0.0,0.00078125,0.2234375,0.77578125
compute_minus20,centered_full_action_dqn,806,62.200795807540416,25.641700336895884,36.559095513671636,1.376404026662931,14229.088817691803,778.6060827687382,0.0,19.4,0.0,1.2,0.0,0.19218258038163186,0.0,0.0,0.00390625,0.2375,0.75859375
compute_minus20,centered_full_action_dqn,807,63.602579118162396,26.08709179200232,37.51548722893,1.3798790058121084,14119.993192195892,566.0958817154169,0.0,19.65,0.0,0.9,0.0,0.1923411175608635,0.0,0.0,0.0,0.08515625,0.91484375
