,raw_mbit,workload_gflop,result_ratio,feature_ratio,preprocess_fraction,compute_power_w,onboard_rate_gflops,ground_rate_gflops,reference_link_mbps,result_mbit,feature_mbit,onboard_heat_j,ground_tx_heat_j,onboard_latency_ms,ground_compute_ms
raw_mbit,1.0,0.66027263869238,-0.0010667749877040064,0.5726114110106956,0.6602726392122876,0.6595070661734231,,,,0.7122650741208557,0.9331261059801814,0.6548829238973237,0.9999999999999962,0.660272638696135,0.6602726388487588
workload_gflop,0.66027263869238,1.0,-0.004238668968199589,0.870031578259302,0.9999999999999805,0.9968401942636512,,,,0.47108268183345564,0.8096622331976054,0.9921920888415147,0.6602726389715126,1.0,0.9999999999999925
result_ratio,-0.0010667749877040064,-0.004238668968199589,1.0,-0.006927915106737432,-0.004238669969786536,-0.00503616245264788,,,,0.6443835372932392,-0.0013754917106360922,-0.003088916375804419,-0.0010667751378534158,-0.004238668798485534,-0.004238669461725417
feature_ratio,0.5726114110106956,0.870031578259302,-0.006927915106737432,1.0,0.8700315782737807,0.8673060297762623,,,,0.4070276573448963,0.7977226980945705,0.8632403580670731,0.5726114115055353,0.8700315782159384,0.8700315783362955
preprocess_fraction,0.6602726392122876,0.9999999999999805,-0.004238669969786536,0.8700315782737807,1.0,0.9968401942956849,,,,0.4710826812238433,0.8096622336510476,0.9921920887811398,0.6602726394914206,0.9999999999999908,0.9999999999999885
compute_power_w,0.6595070661734231,0.9968401942636512,-0.00503616245264788,0.8673060297762623,0.9968401942956849,1.0,,,,0.47042936144113295,0.8004291195448637,0.9793358954258653,0.6595070665228311,0.9968401942703516,0.9968401942758371
onboard_rate_gflops,,,,,,,,,,,,,,,
ground_rate_gflops,,,,,,,,,,,,,,,
reference_link_mbps,,,,,,,,,,,,,,,
result_mbit,0.7122650741208557,0.47108268183345564,0.6443835372932392,0.4070276573448963,0.4710826812238433,0.47042936144113295,,,,1.0,0.6648430708844477,0.4672816276442459,0.7122650740639005,0.47108268207643694,0.4710826815231561
feature_mbit,0.9331261059801814,0.8096622331976054,-0.0013754917106360922,0.7977226980945705,0.8096622336510476,0.8004291195448637,,,,0.6648430708844477,1.0,0.815415257840261,0.933126106196978,0.8096622332752283,0.8096622333635521
onboard_heat_j,0.6548829238973237,0.9921920888415147,-0.003088916375804419,0.8632403580670731,0.9921920887811398,0.9793358954258653,,,,0.4672816276442459,0.815415257840261,1.0,0.6548829240505128,0.9921920888398065,0.9921920888321623
ground_tx_heat_j,0.9999999999999962,0.6602726389715126,-0.0010667751378534158,0.5726114115055353,0.6602726394914206,0.6595070665228311,,,,0.7122650740639005,0.933126106196978,0.6548829240505128,1.0,0.6602726389752658,0.6602726391278944
onboard_latency_ms,0.660272638696135,1.0,-0.004238668798485534,0.8700315782159384,0.9999999999999908,0.9968401942703516,,,,0.47108268207643694,0.8096622332752283,0.9921920888398065,0.6602726389752658,1.0,0.9999999999999994
ground_compute_ms,0.6602726388487588,0.9999999999999925,-0.004238669461725417,0.8700315783362955,0.9999999999999885,0.9968401942758371,,,,0.4710826815231561,0.8096622333635521,0.9921920888321623,0.6602726391278944,0.9999999999999994,1.0
