scenario,policy,model_seed,mean_difference,dqn_total_cost,mpc_total_cost,n_traces
burst,centered_full_action_dqn,800,-11.216477720795238,97.16056155517697,108.37703927597222,20
burst,centered_full_action_dqn,801,-10.84721030597552,98.79253335513175,109.63974366110726,20
burst,centered_full_action_dqn,802,-11.883948130081626,96.43604034528137,108.31998847536299,20
burst,centered_full_action_dqn,803,-13.090113273430987,93.69841762751341,106.7885309009444,20
burst,centered_full_action_dqn,804,-12.247787968188323,96.7576671256125,109.00545509380083,20
burst,centered_full_action_dqn,805,-11.643617817161878,98.0691450315714,109.71276284873326,20
burst,centered_full_action_dqn,806,-11.046197635703702,97.25504975654185,108.30124739224554,20
burst,centered_full_action_dqn,807,-10.975964959571764,97.75443693310022,108.73040189267199,20
burst,centered_full_action_dqn,808,-12.470436494296896,98.53017394840717,111.00061044270407,20
burst,centered_full_action_dqn,809,-11.308455589139756,100.9721283581853,112.28058394732504,20
burst,centered_full_action_dqn,810,-11.649796655390563,95.22215262271465,106.87194927810519,20
burst,centered_full_action_dqn,811,-11.818141109008161,99.0085504361987,110.82669154520688,20
burst,centered_full_action_dqn,812,-12.195944592044075,93.6598797518015,105.85582434384557,20
burst,centered_full_action_dqn,813,-10.974291244385261,97.97947231516243,108.95376355954768,20
burst,centered_full_action_dqn,814,-9.11080410194057,96.52497905127704,105.6357831532176,20
burst,centered_full_action_dqn,815,-11.3735100587294,97.16506685007364,108.53857690880304,20
burst,centered_full_action_dqn,816,-11.83633076700492,93.17137848772109,105.007709254726,20
burst,centered_full_action_dqn,817,-13.288217046094413,96.42698187306523,109.71519891915963,20
burst,centered_full_action_dqn,818,-10.718906935134251,97.64800329685212,108.36691023198637,20
burst,centered_full_action_dqn,819,-9.554343423259434,95.46395205020904,105.01829547346847,20
burst,double_centered_full_action_dqn,800,-11.378403153179246,96.99863612279296,108.37703927597222,20
burst,double_centered_full_action_dqn,801,-10.57547693085834,99.06426673024893,109.63974366110726,20
burst,double_centered_full_action_dqn,802,-11.90980556919727,96.41018290616572,108.31998847536299,20
burst,double_centered_full_action_dqn,803,-13.16267099240832,93.62585990853607,106.7885309009444,20
burst,double_centered_full_action_dqn,804,-12.400108437359133,96.6053466564417,109.00545509380083,20
burst,double_centered_full_action_dqn,805,-10.921852939833498,98.79090990889978,109.71276284873326,20
burst,double_centered_full_action_dqn,806,-11.421133611150998,96.88011378109455,108.30124739224554,20
burst,double_centered_full_action_dqn,807,-10.763599039475126,97.96680285319687,108.73040189267199,20
burst,double_centered_full_action_dqn,808,-12.385609894415843,98.61500054828824,111.00061044270407,20
burst,double_centered_full_action_dqn,809,-11.37837712148756,100.9022068258375,112.28058394732504,20
burst,double_centered_full_action_dqn,810,-11.493151009891337,95.37879826821387,106.87194927810519,20
burst,double_centered_full_action_dqn,811,-11.399967715922557,99.42672382928433,110.82669154520688,20
burst,double_centered_full_action_dqn,812,-12.54501712887021,93.31080721497537,105.85582434384557,20
burst,double_centered_full_action_dqn,813,-10.695443431300538,98.25832012824715,108.95376355954768,20
burst,double_centered_full_action_dqn,814,-9.115385327231468,96.52039782598615,105.6357831532176,20
burst,double_centered_full_action_dqn,815,-11.884448302409101,96.65412860639394,108.53857690880304,20
burst,double_centered_full_action_dqn,816,-11.501255577757195,93.50645367696882,105.007709254726,20
burst,double_centered_full_action_dqn,817,-13.509153936711428,96.20604498244822,109.71519891915963,20
burst,double_centered_full_action_dqn,818,-10.83210099627944,97.53480923570693,108.36691023198637,20
burst,double_centered_full_action_dqn,819,-9.626898574468669,95.39139689899982,105.01829547346847,20
burst,double_dqn,800,-11.290918107835612,97.0861211681366,108.37703927597222,20
burst,double_dqn,801,-10.034912898065295,99.60483076304197,109.63974366110726,20
burst,double_dqn,802,-11.653881547297573,96.66610692806542,108.31998847536299,20
burst,double_dqn,803,-12.086769457403943,94.70176144354045,106.7885309009444,20
burst,double_dqn,804,-11.737470204874674,97.26798488892615,109.00545509380083,20
burst,double_dqn,805,-10.830578532440867,98.88218431629241,109.71276284873326,20
burst,double_dqn,806,-9.86588968435766,98.4353577078879,108.30124739224554,20
burst,double_dqn,807,-11.100034629787011,97.63036726288497,108.73040189267199,20
burst,double_dqn,808,-11.792364313772428,99.20824612893165,111.00061044270407,20
burst,double_dqn,809,-11.118057446280417,101.16252650104464,112.28058394732504,20
burst,double_dqn,810,-10.623887513715925,96.24806176438929,106.87194927810519,20
burst,double_dqn,811,-10.782897589612572,100.0437939555943,110.82669154520688,20
burst,double_dqn,812,-12.050254772812448,93.80556957103312,105.85582434384557,20
burst,double_dqn,813,-10.716634536323562,98.23712902322413,108.95376355954768,20
burst,double_dqn,814,-9.614965025004327,96.02081812821328,105.6357831532176,20
burst,double_dqn,815,-6.806348489767364,101.73222841903568,108.53857690880304,20
burst,double_dqn,816,-10.775634104425418,94.23207515030059,105.007709254726,20
burst,double_dqn,817,-13.104746330214018,96.61045258894563,109.71519891915963,20
burst,double_dqn,818,-10.080886277088243,98.28602395489813,108.36691023198637,20
burst,double_dqn,819,-8.682101042729794,96.33619443073869,105.01829547346847,20
burst,full_action_q_dqn,800,-11.310795990807973,97.06624328516423,108.37703927597222,20
burst,full_action_q_dqn,801,-10.456709047378743,99.18303461372852,109.63974366110726,20
burst,full_action_q_dqn,802,-11.846150315175985,96.473838160187,108.31998847536299,20
burst,full_action_q_dqn,803,-12.83544608281962,93.95308481812478,106.7885309009444,20
burst,full_action_q_dqn,804,-11.411935472979943,97.59351962082089,109.00545509380083,20
burst,full_action_q_dqn,805,-11.082047977743946,98.63071487098932,109.71276284873326,20
burst,full_action_q_dqn,806,-11.113973257788434,97.18727413445711,108.30124739224554,20
burst,full_action_q_dqn,807,-11.415518501634399,97.31488339103758,108.73040189267199,20
burst,full_action_q_dqn,808,-12.751972528568018,98.24863791413605,111.00061044270407,20
burst,full_action_q_dqn,809,-11.292817557478248,100.98776638984681,112.28058394732504,20
burst,full_action_q_dqn,810,-10.864678447459044,96.00727083064616,106.87194927810519,20
burst,full_action_q_dqn,811,-8.752819618988601,102.07387192621827,110.82669154520688,20
burst,full_action_q_dqn,812,-12.261948702171765,93.5938756416738,105.85582434384557,20
burst,full_action_q_dqn,813,-10.412953839314598,98.54080972023309,108.95376355954768,20
burst,full_action_q_dqn,814,-9.379704726230681,96.25607842698693,105.6357831532176,20
burst,full_action_q_dqn,815,-10.331423837041907,98.20715307176113,108.53857690880304,20
burst,full_action_q_dqn,816,-12.143566687359648,92.86414256736637,105.007709254726,20
burst,full_action_q_dqn,817,-13.18859858861315,96.5266003305465,109.71519891915963,20
burst,full_action_q_dqn,818,-10.62916338210674,97.73774684987963,108.36691023198637,20
burst,full_action_q_dqn,819,-9.200059737277206,95.81823573619127,105.01829547346847,20
burst,immediate_advantage_dqn,800,-10.796999684406481,97.58003959156574,108.37703927597222,20
burst,immediate_advantage_dqn,801,-10.099478979306067,99.5402646818012,109.63974366110726,20
burst,immediate_advantage_dqn,802,-11.416885201554033,96.90310327380897,108.31998847536299,20
burst,immediate_advantage_dqn,803,-12.789823250268025,93.99870765067638,106.7885309009444,20
burst,immediate_advantage_dqn,804,-11.268878545358579,97.73657654844224,109.00545509380083,20
burst,immediate_advantage_dqn,805,-11.1493470144256,98.56341583430768,109.71276284873326,20
burst,immediate_advantage_dqn,806,-10.947843306683916,97.35340408556164,108.30124739224554,20
burst,immediate_advantage_dqn,807,-10.191239371011653,98.53916252166033,108.73040189267199,20
burst,immediate_advantage_dqn,808,-13.14585692892085,97.85475351378322,111.00061044270407,20
burst,immediate_advantage_dqn,809,-11.426147066304384,100.85443688102067,112.28058394732504,20
burst,immediate_advantage_dqn,810,-11.445440253380841,95.42650902472437,106.87194927810519,20
burst,immediate_advantage_dqn,811,-10.21449869501945,100.61219285018743,110.82669154520688,20
burst,immediate_advantage_dqn,812,-12.097835266650046,93.75798907719552,105.85582434384557,20
burst,immediate_advantage_dqn,813,-10.654641360578555,98.29912219896913,108.95376355954768,20
burst,immediate_advantage_dqn,814,-10.025166294318018,95.61061685889959,105.6357831532176,20
burst,immediate_advantage_dqn,815,-11.5458807078213,96.99269620098173,108.53857690880304,20
burst,immediate_advantage_dqn,816,-11.477277773275212,93.53043148145079,105.007709254726,20
burst,immediate_advantage_dqn,817,-12.61563267706084,97.0995662420988,109.71519891915963,20
burst,immediate_advantage_dqn,818,-10.203611790293177,98.16329844169319,108.36691023198637,20
burst,immediate_advantage_dqn,819,-8.958170009863554,96.06012546360492,105.01829547346847,20
burst,standard_dqn,800,-11.338471003307065,97.03856827266515,108.37703927597222,20
burst,standard_dqn,801,-10.227855147393191,99.41188851371408,109.63974366110726,20
burst,standard_dqn,802,-11.72800275831971,96.59198571704329,108.31998847536299,20
burst,standard_dqn,803,-12.654763642121475,94.13376725882293,106.7885309009444,20
burst,standard_dqn,804,-11.624477245107093,97.38097784869373,109.00545509380083,20
burst,standard_dqn,805,-11.05981648385366,98.65294636487961,109.71276284873326,20
burst,standard_dqn,806,-10.6050688205892,97.69617857165636,108.30124739224554,20
burst,standard_dqn,807,-10.627595711360376,98.1028061813116,108.73040189267199,20
burst,standard_dqn,808,-11.646560600569952,99.35404984213412,111.00061044270407,20
burst,standard_dqn,809,-11.440821419531403,100.83976252779365,112.28058394732504,20
burst,standard_dqn,810,-10.870888290990298,96.00106098711491,106.87194927810519,20
burst,standard_dqn,811,-11.14624028462526,99.68045126058162,110.82669154520688,20
burst,standard_dqn,812,-12.160968088567579,93.69485625527798,105.85582434384557,20
burst,standard_dqn,813,-10.977481355754154,97.97628220379353,108.95376355954768,20
burst,standard_dqn,814,-8.739905367162411,96.8958777860552,105.6357831532176,20
burst,standard_dqn,815,-8.90056693559741,99.63800997320563,108.53857690880304,20
burst,standard_dqn,816,-11.338345165132719,93.66936408959329,105.007709254726,20
burst,standard_dqn,817,-13.02622955707955,96.6889693620801,109.71519891915963,20
burst,standard_dqn,818,-10.397620134183487,97.96929009780288,108.36691023198637,20
burst,standard_dqn,819,-9.222688192290242,95.79560728117823,105.01829547346847,20
energy_limited,centered_full_action_dqn,800,-6.591697764612019,119.68275651879608,126.27445428340812,20
energy_limited,centered_full_action_dqn,801,-6.378675920044503,120.08535002879799,126.46402594884248,20
energy_limited,centered_full_action_dqn,802,-7.839436675020001,119.2715214484185,127.1109581234385,20
energy_limited,centered_full_action_dqn,803,-7.414353745753695,117.45303940199315,124.86739314774687,20
energy_limited,centered_full_action_dqn,804,-4.992531382177534,120.03649887233973,125.02903025451727,20
energy_limited,centered_full_action_dqn,805,-8.254872979870987,117.66982400521636,125.92469698508735,20
energy_limited,centered_full_action_dqn,806,-8.285183711617403,117.60049393512308,125.88567764674049,20
energy_limited,centered_full_action_dqn,807,-5.514553876474781,121.02935215689243,126.5439060333672,20
energy_limited,centered_full_action_dqn,808,-7.902272348208737,121.1596271969378,129.06189954514656,20
energy_limited,centered_full_action_dqn,809,-6.66608095529362,121.5215359055251,128.1876168608187,20
energy_limited,centered_full_action_dqn,810,-7.871293769053355,116.67856939442456,124.54986316347791,20
energy_limited,centered_full_action_dqn,811,-7.4070626228190575,120.48198369883,127.88904632164906,20
energy_limited,centered_full_action_dqn,812,-8.452432367322688,116.60029771462082,125.05273008194351,20
