policy,model_seed,trace_seed,scenario,environment_scenario,coupling,generator,compute_scale,data_scale,energy_scale,heat_scale,link_scale,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction
immediate_argmin,800,3300017,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,23.9548666998744,23.9548666998744,0.0,1.53382258862257,15977.014526367188,1479.7215139269829,0.0,0.0,0.0,1.0,0.0,0.1891999989748001,0.8859999775886536,0.0,0.0,0.609375,0.390625
immediate_argmin,800,3300018,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,25.864116117358208,25.864116117358208,0.0,1.6689826035872102,17884.44854736328,1863.8948843479156,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.671875,0.328125
immediate_argmin,800,3300019,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,23.430070370435715,23.430070370435715,0.0,1.5235399948433042,15664.681621551514,1619.8098843097687,0.0,0.0,0.0,1.0,0.0,0.1891999989748001,0.8859999775886536,0.0,0.0,0.65625,0.34375
mpc_h4,800,3300000,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,25.319489359855652,25.319489359855652,0.0,1.6760332705453038,17796.677684783936,1758.4807518720627,0.0,0.0,0.0,1.0,302.27819993160665,0.1891999989748001,0.8859999775886536,0.0,0.0,0.640625,0.359375
mpc_h4,800,3300001,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,23.943751238286495,23.943751238286495,0.0,1.5074446368962526,15655.184867858887,1631.0894231796265,0.0,0.0,0.0,0.0,311.55189988203347,0.1891999989748001,0.8859999775886536,1.0,0.0,0.65625,0.34375
mpc_h4,800,3300002,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,22.406500205397606,22.406500205397606,0.0,1.4491194421425462,14295.767999649048,1445.4190341234207,0.0,0.0,0.0,0.0,308.24559973552823,0.1891999989748001,0.8859999775886536,1.0,0.0,0.578125,0.421875
mpc_h4,800,3300003,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.812921404838562,24.812921404838562,0.0,1.6683247052133083,17875.982927322388,1732.8374588489532,0.0,0.0,0.0,0.0,304.37620042357594,0.1891999989748001,0.8859999775886536,1.0,0.0,0.6875,0.3125
mpc_h4,800,3300004,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.685048773884773,24.685048773884773,0.0,1.5795061429962516,16624.051624298096,1749.1884925365448,0.0,0.0,0.0,0.0,304.76619908586144,0.1891999989748001,0.8859999775886536,1.0,0.0,0.671875,0.328125
mpc_h4,800,3300005,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.53781684488058,24.53781684488058,0.0,1.5889240428805351,16461.718811035156,1499.2230585813522,0.0,0.0,0.0,0.0,307.1800997713581,0.1891999989748001,0.8859999775886536,1.0,0.0,0.578125,0.421875
mpc_h4,800,3300006,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,23.48547611385584,23.48547611385584,0.0,1.5015437910333276,15453.455451965332,1661.6032686829567,0.0,0.0,0.0,0.0,303.86759992688894,0.1891999989748001,0.8859999775886536,1.0,0.0,0.65625,0.34375
mpc_h4,800,3300007,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,23.311241172254086,23.311241172254086,0.0,1.5217588720843196,15802.159549713135,1556.812558054924,0.0,0.0,0.0,0.0,303.3816998358816,0.1891999989748001,0.8859999775886536,1.0,0.0,0.671875,0.328125
mpc_h4,800,3300008,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,26.158326148986816,26.158326148986816,0.0,1.6778514236211777,18076.524034500122,1909.4118959903717,0.0,0.0,0.0,0.0,307.66710021998733,0.1891999989748001,0.8859999775886536,1.0,0.0,0.6875,0.3125
mpc_h4,800,3300009,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.067925967276096,24.067925967276096,0.0,1.5393158001825213,16201.947147369385,1740.448041677475,0.0,0.0,0.0,2.0,308.4472003392875,0.1891999989748001,0.8859999775886536,0.0,0.0,0.71875,0.28125
mpc_h4,800,3300010,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.235718823969364,24.235718823969364,0.0,1.5776639245450497,16752.91694831848,1761.3343443870544,0.0,0.0,0.0,0.0,306.2699002912268,0.1891999989748001,0.8859999775886536,1.0,0.0,0.703125,0.296875
mpc_h4,800,3300011,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,25.353478245437145,25.353478245437145,0.0,1.6112934993579984,17108.15308380127,1674.9377464056015,0.0,0.0,0.0,0.0,306.922199903056,0.1891999989748001,0.8859999775886536,1.0,0.0,0.640625,0.359375
mpc_h4,800,3300012,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.915846824645996,24.915846824645996,0.0,1.6089652283117175,17113.922397613525,1718.5432300567627,0.0,0.0,0.0,0.0,303.2166000921279,0.1891999989748001,0.8859999775886536,1.0,0.0,0.671875,0.328125
mpc_h4,800,3300013,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.09995973855257,24.09995973855257,0.0,1.480753181502223,15155.75998878479,1459.3439319133759,0.0,0.0,0.0,2.0,302.390800206922,0.1891999989748001,0.8859999775886536,0.0,0.0,0.578125,0.421875
mpc_h4,800,3300014,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.101166389882565,24.101166389882565,0.0,1.5491110803559422,16198.1181640625,1594.408357143402,0.0,0.0,0.0,0.0,306.04379973374307,0.1891999989748001,0.8859999775886536,1.0,0.0,0.65625,0.34375
mpc_h4,800,3300015,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,26.102987349033356,26.102987349033356,0.0,1.5696290722116828,16749.839065551758,1850.5593277215958,0.0,0.0,0.0,0.0,306.11800018232316,0.1891999989748001,0.8859999775886536,1.0,0.0,0.6875,0.3125
mpc_h4,800,3300016,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,23.553034231066704,23.553034231066704,0.0,1.50992532633245,15713.93045425415,1663.1949617862701,0.0,0.0,0.0,1.0,298.54699969291687,0.1891999989748001,0.8859999775886536,0.0,0.0,0.703125,0.296875
mpc_h4,800,3300017,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,23.9548666998744,23.9548666998744,0.0,1.53382258862257,15977.014526367188,1479.7215139269829,0.0,0.0,0.0,1.0,302.905400050804,0.1891999989748001,0.8859999775886536,0.0,0.0,0.609375,0.390625
mpc_h4,800,3300018,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,25.864116117358208,25.864116117358208,0.0,1.6689826035872102,17884.44854736328,1863.8948843479156,0.0,0.0,0.0,0.0,307.59980087168515,0.1891999989748001,0.8859999775886536,1.0,0.0,0.671875,0.328125
mpc_h4,800,3300019,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,23.430070370435715,23.430070370435715,0.0,1.5235399948433042,15664.681621551514,1619.8098843097687,0.0,0.0,0.0,1.0,304.50759967789054,0.1891999989748001,0.8859999775886536,0.0,0.0,0.65625,0.34375
contextual_bandit,800,3300000,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,25.38164407759905,25.38164407759905,0.0,1.643816358409822,17488.71925354004,1714.4674673080444,0.0,0.0,0.0,1.0,0.0,0.1891999989748001,0.8859999775886536,0.0,0.0,0.640625,0.359375
contextual_bandit,800,3300001,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.12188733369112,24.12188733369112,0.0,1.5111139677464962,15548.509719848633,1557.4799233675003,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.59375,0.40625
contextual_bandit,800,3300002,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,22.861382506787777,22.861382506787777,0.0,1.4269272107630968,13810.215070724487,1245.591798901558,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.453125,0.546875
contextual_bandit,800,3300003,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.925320968031883,24.925320968031883,0.0,1.679481454193592,17995.170183181763,1708.0290644168854,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.671875,0.328125
contextual_bandit,800,3300004,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.87667067348957,24.87667067348957,0.0,1.61042726226151,16926.163677215576,1717.0120797157288,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.640625,0.359375
contextual_bandit,800,3300005,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.81812547892332,24.81812547892332,0.0,1.585440395399928,16267.72286605835,1375.9420944452286,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.5,0.5
contextual_bandit,800,3300006,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,23.628230169415474,23.628230169415474,0.0,1.5013917721807957,15473.096492767334,1616.0869553685188,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.640625,0.359375
contextual_bandit,800,3300007,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,23.48238941282034,23.48238941282034,0.0,1.5436901357024908,16103.915592193604,1547.9669950008392,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.671875,0.328125
contextual_bandit,800,3300008,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,26.557227224111557,26.557227224111557,0.0,1.678164029493928,18002.52550315857,1793.3053592443466,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.609375,0.390625
contextual_bandit,800,3300009,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.51740885525942,24.51740885525942,0.0,1.5031891968101263,15552.288146972656,1410.3334633111954,0.0,0.0,0.0,2.0,0.0,0.1891999989748001,0.8859999775886536,0.0,0.0,0.546875,0.453125
contextual_bandit,800,3300010,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.300844632089138,24.300844632089138,0.0,1.5779422037303448,16640.527940750122,1684.6254692077637,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.65625,0.34375
contextual_bandit,800,3300011,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,25.415642119944096,25.415642119944096,0.0,1.6149257188662887,17233.66332244873,1730.0281240940094,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.671875,0.328125
contextual_bandit,800,3300012,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,25.10184109210968,25.10184109210968,0.0,1.6599472612142563,17817.33907699585,1788.1122875213623,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.703125,0.296875
contextual_bandit,800,3300013,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.226908780634403,24.226908780634403,0.0,1.5235467674210668,15878.18445777893,1583.142748117447,0.0,0.0,0.0,2.0,0.0,0.1891999989748001,0.8859999775886536,0.0,0.0,0.65625,0.34375
contextual_bandit,800,3300014,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.222714945673943,24.222714945673943,0.0,1.54187021125108,16205.779636383057,1613.0080312490463,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.671875,0.328125
contextual_bandit,800,3300015,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,26.420602649450302,26.420602649450302,0.0,1.5512637039646506,16292.651290893555,1609.7698481082916,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.546875,0.453125
contextual_bandit,800,3300016,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,23.701149463653564,23.701149463653564,0.0,1.5207825833931565,15731.214897155762,1606.05326461792,0.0,0.0,0.0,1.0,0.0,0.1891999989748001,0.8859999775886536,0.0,0.0,0.65625,0.34375
contextual_bandit,800,3300017,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.007371820509434,24.007371820509434,0.0,1.5624743271619081,16447.39128112793,1607.9566811323166,0.0,0.0,0.0,1.0,0.0,0.1891999989748001,0.8859999775886536,0.0,0.0,0.671875,0.328125
contextual_bandit,800,3300018,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,26.019147366285324,26.019147366285324,0.0,1.6677358392626047,17966.25347137451,1844.4605892896652,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.6875,0.3125
contextual_bandit,800,3300019,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,23.515380449593067,23.515380449593067,0.0,1.52444454934448,15694.343662261963,1606.9855709075928,0.0,0.0,0.0,1.0,0.0,0.1891999989748001,0.8859999775886536,0.0,0.0,0.65625,0.34375
threshold,800,3300000,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,25.528142750263214,25.528142750263214,0.0,1.6793329240754247,17954.93705368042,1750.7840105295181,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.015625,0.640625,0.34375
threshold,800,3300001,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,23.943751238286495,23.943751238286495,0.0,1.5074446368962526,15655.184867858887,1631.0894231796265,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.65625,0.34375
threshold,800,3300002,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,22.406500205397606,22.406500205397606,0.0,1.4491194421425462,14295.767999649048,1445.4190341234207,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.578125,0.421875
threshold,800,3300003,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.812921404838562,24.812921404838562,0.0,1.6683247052133083,17875.982927322388,1732.8374588489532,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.6875,0.3125
threshold,800,3300004,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.685048773884773,24.685048773884773,0.0,1.5795061429962516,16624.051624298096,1749.1884925365448,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.671875,0.328125
threshold,800,3300005,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.53781684488058,24.53781684488058,0.0,1.5889240428805351,16461.718811035156,1499.2230585813522,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.578125,0.421875
threshold,800,3300006,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,23.48547611385584,23.48547611385584,0.0,1.5015437910333276,15453.455451965332,1661.6032686829567,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.65625,0.34375
threshold,800,3300007,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,23.311241172254086,23.311241172254086,0.0,1.5217588720843196,15802.159549713135,1556.812558054924,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.671875,0.328125
threshold,800,3300008,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,26.158326148986816,26.158326148986816,0.0,1.6778514236211777,18076.524034500122,1909.4118959903717,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.6875,0.3125
threshold,800,3300009,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,25.729394771158695,25.729394771158695,0.0,1.5669330535456538,17232.97323989868,1642.5658698678017,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.03125,0.6875,0.28125
threshold,800,3300010,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,24.235718823969364,24.235718823969364,0.0,1.5776639245450497,16752.91694831848,1761.3343443870544,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.703125,0.296875
threshold,800,3300011,static,nominal,0.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,25.353478245437145,25.353478245437145,0.0,1.6112934993579984,17108.15308380127,1674.9377464056015,0.0,0.0,0.0,0.0,0.0,0.1891999989748001,0.8859999775886536,1.0,0.0,0.640625,0.359375
