file,sha256,variant,model_seed,episodes,horizon,training_steps,state_dim,bellman_target,replay,training_wall_time_s,optimizer_updates,preview_calls,preview_action_evaluations
full_action_q_dqn__lambda_0p3_uncentered__seed_809.pth,fa2879a0ec1cfc7e5f0ae10df9edbd80782f08d4a3e5fa964e49a7954c808574,full_action_q_dqn,809,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,48.233128499938175,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_810.pth,9bcf0e82128586485d067294fb41ee9c0a279abc40c001841278ad76043c0578,full_action_q_dqn,810,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,45.8210680000484,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_811.pth,6d2d15e3bfdb363745ef46c08b5ccc95861b395f5098a59a78ef3c1e8cc433dd,full_action_q_dqn,811,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,45.563780799973756,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_812.pth,d061a72dc02adae512079b628d96da9e87e5b3b78a2ba0b7a0230eafa8a1f822,full_action_q_dqn,812,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,44.84128050005529,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_813.pth,c7dda76743c4ef4630265505db864d50abcd17bae72b27ad8eeb77c0c73a7a26,full_action_q_dqn,813,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,48.82298289996106,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_814.pth,d659b767305e99f5def36da7fc09c2a1fdccbad3d85eb739f1a7c91b03dfa790,full_action_q_dqn,814,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,47.4995091999881,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_815.pth,a8f4ad922a1bf25d1ef460ae3ddfeb54f600aec43061b518e72817803db66a51,full_action_q_dqn,815,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,45.58782719995361,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_816.pth,4766bb3d6e8da9193ba059d7487b8a948c84cf4822cd7bae09c5c74f4dd61558,full_action_q_dqn,816,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,44.80399459996261,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_817.pth,37596ff5e1aac4f14f277ec26bec098430e9aa50ecf01ae11c10c5ff8c68dbba,full_action_q_dqn,817,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,48.05390840000473,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_818.pth,f03a3b6b89d4211dbf5f6081333d4d7ea599356ae85a05e01e91b9bb7e34bfda,full_action_q_dqn,818,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,47.538671800051816,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_819.pth,1c79ffd02cca2c5aaf97e66eb436baedd97ee11ac50b0ae03b4a08375c042c9e,full_action_q_dqn,819,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,47.97592550003901,9569,38400,115200
immediate_advantage_dqn__lambda_0p3_immediate__seed_800.pth,15d4504b98e63d5c760bacf026dfa25326fe4555f36d00265fe89d5ded9db46a,immediate_advantage_dqn,800,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,41.80154309992213,9569,38400,115200
immediate_advantage_dqn__lambda_0p3_immediate__seed_801.pth,0f36d0f62fb7211cedfccfd777dc33f5d5ee13f607a79cb434043d4e987277e3,immediate_advantage_dqn,801,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,41.99385540001094,9569,38400,115200
immediate_advantage_dqn__lambda_0p3_immediate__seed_802.pth,395becbf53b21e9c4bb38c62400fe834faeefef64b58f62df0732b4e2ca158af,immediate_advantage_dqn,802,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,41.8721879000077,9569,38400,115200
immediate_advantage_dqn__lambda_0p3_immediate__seed_803.pth,c32e6a9e7005d3400b02310c895c76b508e6c9735819306730b9fff83e742598,immediate_advantage_dqn,803,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,42.00084829994012,9569,38400,115200
immediate_advantage_dqn__lambda_0p3_immediate__seed_804.pth,166c810884594b3aa2ef11944fbcf82a8f532602feecbf42b6814409d09f0165,immediate_advantage_dqn,804,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,41.97220810002182,9569,38400,115200
immediate_advantage_dqn__lambda_0p3_immediate__seed_805.pth,3fc95953d8b49ac79007baedcf9497755ef789a96e487fd635b4aecf9c2769d6,immediate_advantage_dqn,805,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,42.26208739995491,9569,38400,115200
