scenario,policy,model_seed,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction
burst,contextual_bandit,800,152.5742553625596,32.099907748028635,120.47434764507834,1.7183119692839681,19155.37953748703,1472.8402892649174,0.0,34.95,36.2,1.95,0.0,0.19048473313450814,0.0,0.0,0.0,0.49453125,0.50546875
burst,contextual_bandit,801,129.87216620223396,32.30600102953613,97.56616516003184,1.7145168539136648,19329.22327299118,1428.2827089220286,0.0,33.05,27.45,2.0,0.0,0.1901164434850216,0.0,0.0,0.0,0.48203125,0.51796875
burst,contextual_bandit,802,133.59075117515857,32.0782979734242,101.51245327251492,1.7102799077983946,19140.737161636353,1482.277136322856,0.0,34.35,27.95,1.95,0.0,0.1900545537471771,0.0,0.0,0.0,0.50078125,0.49921875
burst,contextual_bandit,803,124.05111174426989,31.061750372499226,92.98936143174782,1.6969619321636855,18741.093533706666,1456.603385964036,0.0,33.45,21.35,1.3,0.0,0.1901075430214405,0.0,0.0,0.0,0.4921875,0.5078125
burst,contextual_bandit,804,142.61342171512422,31.848665227368475,110.76475655965382,1.710973417107016,19069.179918289185,1462.0331979721784,0.0,34.2,31.85,2.05,0.0,0.19052331298589706,0.0,0.0,0.0,0.48828125,0.51171875
burst,contextual_bandit,805,128.56654606792236,32.5480406511575,96.01850534523928,1.7278093062341213,19397.53310813904,1447.2143548667432,0.0,33.5,24.85,2.1,0.0,0.18998018503189087,0.0,0.0,0.0,0.4625,0.5375
burst,contextual_bandit,806,159.93012501538038,32.37710583806038,127.55301917284964,1.7239563304465264,19334.291350650787,1551.9435438424348,0.0,34.0,37.75,1.9,0.0,0.19025332108139992,0.0,0.0,0.0,0.52578125,0.47421875
burst,contextual_bandit,807,132.39095541758428,31.682821484282613,100.7081339787502,1.701759269880131,18995.87417707443,1507.361759659648,0.0,33.2,25.25,2.35,0.0,0.19013873860239983,0.0,0.0,0.0,0.50546875,0.49453125
burst,contextual_bandit,808,140.92661082540116,32.17595454826951,108.75065621156652,1.7114801790099592,19116.593577575684,1467.5405720412732,0.0,34.25,30.3,1.85,0.0,0.19049993976950647,0.0,0.0,0.0,0.48515625,0.51484375
burst,contextual_bandit,809,146.37822341606477,32.653300900012255,113.72492249072054,1.7205199236050248,19288.614297962187,1478.2836838752032,0.0,34.25,35.4,2.15,0.0,0.18996432274580002,0.0,0.0,0.0,0.48984375,0.51015625
burst,contextual_bandit,810,131.89143601840232,31.054977494105696,100.83645852876698,1.6830194576177746,18698.622015666962,1504.0286334663629,0.0,33.5,27.4,1.8,0.0,0.19025125727057457,0.0,0.0,0.0,0.52578125,0.47421875
burst,contextual_bandit,811,133.92306814500793,31.891969369724393,102.03109879875288,1.7077842607628555,19082.58292474747,1487.6666382819415,0.0,33.1,26.85,2.5,0.0,0.19034552052617074,0.0,0.0,0.0,0.4953125,0.5046875
burst,contextual_bandit,812,126.38999201018514,31.432881677895786,94.95711041722598,1.6928732031490654,18905.651498031617,1495.54506341815,0.0,32.85,22.85,1.75,0.0,0.19017805457115172,0.0,0.0,0.0,0.5125,0.4875
burst,contextual_bandit,813,140.7281767126288,31.81674806587398,108.91142865383286,1.7231587851420045,19165.873330402374,1521.3245358943939,0.0,34.15,31.7,2.05,0.0,0.19053050577640535,0.0,0.0,0.0,0.49921875,0.50078125
burst,contextual_bandit,814,130.81302469944495,31.63626876845956,99.17675596004264,1.6973275300581008,18897.571872997283,1521.2398724198342,0.0,32.7,26.2,2.0,0.0,0.19028109535574914,0.0,0.0,0.0,0.5,0.5
burst,contextual_bandit,815,162.61528670540292,31.86875000819564,130.74653669646224,1.7307365397457033,19335.639179229736,1555.690868102014,0.0,34.7,34.85,1.45,0.0,0.19061244800686836,0.0,0.0,0.00078125,0.52109375,0.478125
burst,contextual_bandit,816,126.39746614224138,30.72472437657416,95.67274170084718,1.6955458963289858,18730.028001689912,1495.0253485649823,0.0,32.6,23.25,1.6,0.0,0.19011010080575944,0.0,0.0,0.0,0.50390625,0.49609375
burst,contextual_bandit,817,130.51854822075506,31.445788329467177,99.07275979517539,1.7085436653345822,19004.50968055725,1494.5076971322299,0.0,33.55,28.9,1.85,0.0,0.19008340016007425,0.0,0.0,0.0,0.50234375,0.49765625
burst,contextual_bandit,818,127.57030946034811,31.450863019376992,96.11944651175162,1.690666851401329,18783.648203086854,1496.846278309822,0.0,32.85,24.75,2.1,0.0,0.19013076648116112,0.0,0.0,0.0,0.50234375,0.49765625
burst,contextual_bandit,819,129.26655345220513,31.43856617324054,97.82798733409888,1.6953272646293045,18830.00102558136,1493.8949167445303,0.0,33.55,29.35,1.75,0.0,0.1904260829091072,0.0,0.0,0.00078125,0.5015625,0.49765625
burst,fixed_ground,800,323.21808759597207,31.906870494782925,291.3112171011892,2.28542957236059,27154.227786827087,2564.5744918346404,0.0,40.1,48.2,3.2,0.0,0.19007307067513465,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,801,320.9000089773828,32.32779430821538,288.5722146691675,2.364331470709294,28202.9900434494,2558.949777030945,0.0,38.75,50.25,3.55,0.0,0.19004034101963044,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,802,321.4279819021263,32.28564638085663,289.14233552126973,2.305429658200592,27425.638431358337,2598.511531972885,0.0,39.6,48.15,3.35,0.0,0.1899535022675991,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,803,320.935326742121,31.79919706694782,289.13612967517327,2.2966366609558464,27247.275732040405,2551.1922342300413,0.0,39.6,48.15,2.5,0.0,0.18999627307057382,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,804,318.9205323124391,31.649218313395977,287.2713139990432,2.2898105782456697,27201.677820968627,2529.294681787491,0.0,38.9,48.8,3.4,0.0,0.19008583649992944,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,805,314.47173576909495,32.401435707882044,282.070300061213,2.3298149813432247,27785.765112113953,2595.202732563019,0.0,38.5,47.35,3.5,0.0,0.189907818287611,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,806,316.5197600134919,32.074738655984405,284.4450213575075,2.2878093955572694,27187.510505485534,2585.931413793564,0.0,38.85,47.2,3.1,0.0,0.19009329453110696,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,807,315.981189467992,31.933978823944926,284.04721064404714,2.2908803868107497,27213.209783744813,2566.1566968917846,0.0,38.7,47.7,3.05,0.0,0.19001390784978867,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,808,324.00874610350576,32.1175189640373,291.89122713946847,2.312313329940662,27507.150277900695,2575.8109001636503,0.0,39.7,49.4,3.2,0.0,0.19011886045336723,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,809,325.56053165919997,32.49987851716578,293.0606531420343,2.338628439512104,27895.4030462265,2601.4874980449677,0.0,39.8,48.6,3.15,0.0,0.18996432274580002,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,810,316.2785652342377,31.662525448948145,284.6160397852896,2.275367123959586,26979.938335800172,2546.251531124115,0.0,38.75,48.6,2.75,0.0,0.18994989171624183,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,811,322.14680630699166,32.40177402123809,289.74503228575367,2.3493548065423964,27990.29565410614,2581.0082584381103,0.0,39.25,49.65,3.25,0.0,0.18992212861776353,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,812,313.9586286939235,32.02290325276554,281.93572544115807,2.3180981245823205,27566.09026584625,2554.739402294159,0.0,38.65,47.5,3.2,0.0,0.19011113047599792,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,813,323.8636141556811,32.16890160031617,291.694712555365,2.2980479975696655,27332.302053642274,2588.7365341186523,0.0,39.65,48.55,3.15,0.0,0.19007183834910393,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,814,316.41812790124646,31.82086407355964,284.5972638276869,2.257016736548394,26765.025307655334,2581.4819852828978,0.0,39.1,47.45,3.15,0.0,0.1899552561342716,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,815,325.0120240963448,31.922332652658223,293.0896914436867,2.2829776412807403,27124.36658554077,2570.7163883686067,0.0,40.2,49.05,2.6,0.0,0.19011976197361946,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,816,310.67193135480204,31.35218763872981,279.31974371607237,2.240661972668022,26523.727828979492,2529.2632811546328,0.0,38.1,47.5,3.1,0.0,0.18987985849380493,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,817,321.1525646647907,31.987393159046768,289.165171505744,2.3068408692255615,27420.52947616577,2560.3834652423857,0.0,39.55,48.3,3.15,0.0,0.18997323215007783,0.0,0.0,0.0,1.0,0.0
burst,fixed_ground,818,316.6319061608109,31.868185836076737,284.76372032473427,2.2843123224563895,27115.084269332885,2564.2945905685424,0.0,38.85,49.0,3.0,0.0,0.18998493775725364,0.0,0.0,0.0,1.0,0.0
