scenario,policy,total_cost_mean,immediate_cost_mean,penalty_mean,energy_use_mean,latency_ms_mean,transmitted_mbit_mean,thermal_violation_mean,energy_violation_mean,queue_violation_mean,contact_violation_mean,planning_time_ms_mean,maximum_heat_mean,minimum_energy_mean,threshold_free_episode_mean,onboard_fraction_mean,ground_fraction_mean,hybrid_fraction_mean,total_cost_sd,immediate_cost_sd,penalty_sd,energy_use_sd,latency_ms_sd,transmitted_mbit_sd,thermal_violation_sd,energy_violation_sd,queue_violation_sd,contact_violation_sd,planning_time_ms_sd,maximum_heat_sd,minimum_energy_sd,threshold_free_episode_sd,onboard_fraction_sd,ground_fraction_sd,hybrid_fraction_sd,n_model_seeds
burst,double_centered_full_action_dqn,96.90236034543634,31.667200858816507,65.2351594996956,1.5820863103563898,17908.522079195976,986.6161853255146,0.0,28.695,0.0025,1.3175000000000001,0.0,0.1918504395708442,0.0,0.0,0.0034765625,0.2973828125,0.699140625,2.0225071279782867,0.6103083724094197,1.601010481283439,0.013178308439024844,267.9189948606498,112.58537767683819,0.0,0.4930837443552237,0.01118033988749895,0.30662637988618213,0.0,0.0007781126300485083,0.0,0.0,0.007461158158420655,0.061990768289354514,0.06594479762871945,20
burst,double_dqn,97.60989170475625,32.088379555502904,65.52151215797983,1.5868385420064441,18046.9458132267,947.0713890466466,0.0,28.7825,0.015,1.25,0.0,0.1919940736889839,0.0,0.0,0.01796875,0.27261718749999997,0.7094140624999999,2.1502388342615824,0.959846625322003,1.5938518326456292,0.015379661441338333,452.3895854035554,108.08367508661539,0.0,0.4749722983612053,0.0670820393249937,0.27577641592229635,0.0,0.0006618948628913811,0.0,0.0,0.03749828669331721,0.053790502521287156,0.06803959509218427,20
burst,centered_full_action_dqn,96.88482853857987,31.65135376797989,65.23347475721687,1.5815335287200287,17892.049205827712,983.3782859965413,0.0,28.7075,0.0,1.3175000000000001,0.0,0.19171729266643525,0.0,0.0,0.0019140625000000002,0.2946875,0.7033984375,1.9395759495751166,0.5591780702053135,1.580306597911453,0.010870928935484475,231.92761573617807,100.49153160340924,0.0,0.5289699523851192,0.0,0.3001205897985885,0.0,0.0007341471118299163,0.0,0.0,0.004098673402901397,0.05658514467474517,0.05812519619643599,20
burst,full_action_q_dqn,97.21323911499977,31.9280436697416,65.2851954473816,1.5833877559611573,17961.79582903862,956.2664481855929,0.0,28.71,0.0,1.2425000000000002,0.0,0.19204233974218368,0.0,0.0,0.0094140625,0.27914062500000003,0.7114453125,2.247976981236531,0.7386946724054818,1.7017556077741385,0.011946207948956651,269.08805459767564,123.94883344747352,0.0,0.5004208754953966,0.0,0.2477663372912811,0.0,0.0007445580535461188,0.0,0.0,0.015580683452738548,0.07166826138225986,0.0760426746715063,20
burst,immediate_advantage_dqn,97.22382062112167,31.572514281962064,65.65130635011197,1.5871828059665858,17914.440329551697,989.2442657553405,0.0,28.8025,0.0,1.2574999999999998,0.0,0.19207986511290073,0.0,0.0,0.0012109374999999998,0.289609375,0.7091796875,2.049514560082401,0.7285270624842467,1.6151198532836184,0.010584017362281598,218.36989829341056,147.9213309043118,0.0,0.5087329461773786,0.0,0.2710967005565202,0.0,0.00062188306620144,0.0,0.0,0.003470562811625916,0.08404009588209493,0.08470970824255417,20
burst,standard_dqn,97.36063501976989,31.903838568544018,65.45679643310234,1.5847645338461736,17957.041823773383,945.3375765060075,0.0,28.76,0.0,1.2725,0.0,0.19190480407327412,0.0,0.0,0.00578125,0.27230468750000003,0.7219140625,2.0140631226695733,0.734484632296699,1.5845398920147744,0.009897713501480061,204.15085004296998,142.39707500634492,0.0,0.4991044611680957,0.0,0.3010835694445542,0.0,0.0007109981785138307,0.0,0.0,0.0105469511449493,0.0805636955036394,0.07966954898107473,20
energy_limited,double_centered_full_action_dqn,119.07078143889643,28.48218410429545,90.58859735259414,1.485809087145608,16146.662053484917,851.9283995924332,0.0,38.7375,0.0,1.18,0.0,0.19255826909095047,0.0,0.0,0.006132812499999999,0.2631640625,0.730703125,1.7736095814375095,0.6644627960721632,1.2941103188920535,0.014946282762617646,281.3826317799721,146.6355872689304,0.0,0.483919034115157,0.0,0.3092435592657807,0.0,0.0007649325895934905,0.0,0.0,0.01232472457439532,0.08419749962286646,0.09258080546585905,20
energy_limited,double_dqn,120.07545368991421,29.121259200191126,90.95419450996071,1.492536011529155,16367.554557800293,806.7673714301735,0.0,38.8725,0.0,1.0675000000000001,0.0,0.1928609148785472,0.0,0.0,0.030156250000000002,0.23621093750000002,0.7336328125,2.4100256502330883,1.3212047048350428,1.4305696736576996,0.017961856273737555,595.8844325853809,125.0115467873647,0.0,0.5230163024529738,0.0,0.2504075625224227,0.0,0.0006771196872265444,0.0,0.0,0.05462778694865732,0.07351806322512976,0.09232520484310634,20
energy_limited,centered_full_action_dqn,118.99581800171174,28.44896590375341,90.54685212031008,1.4845416835835203,16116.52429130554,845.3836382560432,0.0,38.745,0.0,1.16,0.0,0.19265183568000793,0.0,0.0,0.0033984375000000004,0.258828125,0.7377734375,1.6510608408068308,0.6239779067076661,1.248089868891127,0.010042119503592498,189.78435964016643,136.9208682683979,0.0,0.4468898368902451,0.0,0.2760625405877977,0.0,0.0006630131548305435,0.0,0.0,0.007116510661314201,0.0810992639591778,0.08466699710238165,20
energy_limited,full_action_q_dqn,119.78355904555322,28.872851661061866,90.9107073928453,1.4892965772515163,16236.176996936798,805.4707380056755,0.0,38.8575,0.0,1.1099999999999999,0.0,0.19281235296279192,0.0,0.0,0.014453125,0.23351562499999998,0.75203125,2.379034756438692,0.8954699936603258,1.6395338236697725,0.013852166168971067,304.7358375661926,142.57786821587774,0.0,0.5858585692450818,0.0,0.19907681669990718,0.0,0.0006143760847699935,0.0,0.0,0.02366867894656687,0.08753520056756943,0.09576521046047712,20
energy_limited,immediate_advantage_dqn,119.16598995774238,28.394399110553785,90.77159089240432,1.4902020104811526,16160.300836629869,866.3895374431089,0.0,38.815,0.0,1.1800000000000002,0.0,0.19276773054152727,0.0,0.0,0.0017578125,0.266640625,0.7316015625000001,2.1248291134385964,0.8982908631094322,1.4237789842898474,0.010759411157737096,205.6746335249583,190.53396364751515,0.0,0.5301687913942318,0.0,0.26969768650335724,0.0,0.0007942481173231357,0.0,0.0,0.0045966735125258324,0.1124803242571053,0.11343936758784157,20
energy_limited,standard_dqn,119.6742374736406,28.77454113875516,90.89969635152816,1.4897598899435252,16221.407261400222,819.9341501711309,0.0,38.845,0.0,1.145,0.0,0.1927281368523836,0.0,0.0,0.009648437499999999,0.24281250000000001,0.7475390625,2.1442486187571066,0.9366564454130221,1.4302819521181553,0.009979384782740144,212.15175640780046,183.5228757408303,0.0,0.5353061101640336,0.0,0.31743213116308316,0.0,0.000776696819595233,0.0,0.0,0.015462300539468954,0.1101539461778498,0.10813538457652211,20
