policy,model_seed,trace_seed,scenario,environment_scenario,coupling,generator,compute_scale,data_scale,energy_scale,heat_scale,link_scale,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction,profile
immediate_argmin,800,3300016,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,185.23346040054972,25.38772500306368,159.84573539748607,1.6992096155881882,18687.780212402344,1918.9273056983948,0.0,30.0,33.0,2.0,0.0,0.18988971412181854,0.0,0.0,0.0,0.859375,0.140625,reference
immediate_argmin,800,3300017,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,227.2881405553372,26.62955455482006,200.65858600051715,1.737424905411899,19168.22267150879,1808.6240909099579,0.0,33.0,39.0,1.0,0.0,0.1904817670583725,0.0,0.0,0.0,0.796875,0.203125,reference
immediate_argmin,800,3300018,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,223.9388374923895,28.32405586540699,195.61478162698256,1.8803433403372765,21152.24182510376,2047.5265624523163,0.0,32.0,37.0,2.0,0.0,0.18987779319286346,0.0,0.0,0.0,0.8125,0.1875,reference
immediate_argmin,800,3300019,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,215.3658121184052,26.165859788656235,189.19995232974895,1.7288718884810805,18765.726627349854,1803.9505808353424,0.0,35.0,41.0,1.0,0.0,0.1903868317604065,0.0,0.0,0.0,0.78125,0.21875,reference
mpc_h4,800,3300000,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,91.16891210194566,28.147576339542866,63.02133591886499,1.6287398003041744,17790.181480407715,1464.12762093544,0.0,30.0,2.0,0.0,303.3051999518648,0.19067271053791046,0.0,0.0,0.015625,0.53125,0.453125,reference
mpc_h4,800,3300001,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,79.5761423587799,25.7878877222538,53.78825445771217,1.5087173068895936,15918.256881713867,1438.8759655952454,0.0,24.0,0.0,2.0,304.17990020941943,0.19285671412944794,0.0,0.0,0.0,0.578125,0.421875,reference
mpc_h4,800,3300002,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,80.86474648267031,24.155506752431393,56.70923956632614,1.4424745878204703,14333.855182647705,1193.9165887832642,0.0,26.0,0.0,1.0,310.07870053872466,0.18960252404212952,0.0,0.0,0.0,0.46875,0.53125,reference
mpc_h4,800,3300003,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,102.56644274157536,28.610323280096054,73.9561200426246,1.6210510088130832,17784.67756652832,1309.7174147367477,0.0,31.0,5.0,1.0,315.5337000498548,0.1899464726448059,0.0,0.0,0.015625,0.515625,0.46875,reference
mpc_h4,800,3300004,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,98.58888146281242,27.47817751765251,71.11070430278778,1.6219462165609002,17335.44708633423,1465.5245476216078,0.0,32.0,0.0,0.0,303.2587997149676,0.19038090109825134,0.0,0.0,0.015625,0.5625,0.421875,reference
mpc_h4,800,3300005,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,84.56115978360177,26.662448920309544,57.89871143698692,1.5988895343616605,16805.090421676636,1194.1361290216446,0.0,26.0,0.0,1.0,306.42210005316883,0.1912020593881607,0.0,0.0,0.0,0.421875,0.578125,reference
mpc_h4,800,3300006,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,82.29986935257912,26.081342607736588,56.218526446819304,1.5391755048185587,16200.363418579102,1509.8350149393082,0.0,26.0,0.0,2.0,308.7375999893993,0.18998098373413086,0.0,0.0,0.015625,0.609375,0.375,reference
mpc_h4,800,3300007,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,84.44440135438782,26.309930808842182,58.13447018791777,1.530881135724485,16335.919666290283,1369.4298236370087,0.0,27.0,4.0,1.0,305.14040018897504,0.19123989343643188,0.0,0.0,0.0,0.609375,0.390625,reference
mpc_h4,800,3300008,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,119.02793174224085,31.206421941518784,87.82150975601859,1.7138822386041284,18904.484104156494,1387.4381132125854,0.0,38.0,4.0,3.0,301.0738007724285,0.19218049943447113,0.0,0.0,0.0,0.4375,0.5625,reference
